source	translation	status	notes
(Most relevant) 	(가장 관련 높음) 	translated	멀티플레이 저장 선택
Ascended 	승천한 	translated	아이템 등급 접두어
Currently Active Legendary effects:	현재 활성화된 전설 효과:	translated	전설 효과 UI
Enter the data.	데이터를 입력하세요.	translated	퀘스트 질문
Health: 	생명력: 	translated	멀티플레이 상태 표시
NPC %d	NPC %d	translated	NPC 패널 라벨; 자리표시자 보존
NPC PANEL	NPC 패널	translated	키 바인딩 라벨
Vitality: %s\n\n\n\n\n\n\n\n	활력: %s\n\n\n\n\n\n\n\n	translated	능력치 UI; 자리표시자 보존
The dungeon has already been cleared, but you have the option to reset it and attempt it once more with even harder monsters. Please note that no completion rewards will be given for this reset. Would you like to proceed with resetting the dungeon? (yes/no)	이 던전은 이미 클리어했지만 초기화하여 더 강한 몬스터에게 다시 도전할 수 있습니다. 초기화 후에는 클리어 보상을 받을 수 없습니다. 던전을 초기화하시겠습니까? (yes/no 입력)	translated	yes/no 입력 토큰 보존
\n\nCan't learn	\n\n습득 불가	translated	주문 상태
\n\nNot Learned	\n\n미습득	translated	주문 상태
\nActive (	\n활성 (	translated	주문 상태
\nActive(	\n활성(	translated	주문 상태
\nNot Active	\n비활성	translated	주문 상태
 Hit Points	 생명력	translated	아이템/주문 설명 조각
%s\n\nIncreases spell points based on SP per level and mastery\n\nCurrent SP Regeneration: %s\nNext Level Bonus: %s SP Regen\n	%s\n\n레벨당 주문력과 숙련도에 따라 주문력 재생이 증가합니다.\n\n현재 주문력 재생: %s\n다음 레벨 보너스: 주문력 재생 %s\n	translated	명상 스킬 설명; 자리표시자 보존
Asphyxiate	질식	translated	MAW 주문명
Blood Leech	피 흡수	translated	MAW 주문명
Chain Lightning	연쇄 번개	translated	MAW 재정의 주문명
Death Breath	죽음의 숨결	translated	MAW 주문명
Death Coil	죽음의 고리	translated	MAW 주문명
Death Grasp	죽음의 손아귀	translated	MAW 주문명
Frostbite	동상	translated	MAW 주문명
Ice Bomb	얼음 폭탄	translated	MAW 주문명
Icy Touch	얼음의 손길	translated	MAW 주문명
Melee Power: %s\nRanged Power: %s\nSpell Power: %s	근접 위력: %s\n원거리 위력: %s\n주문 위력: %s	translated	전투 능력치; 자리표시자 보존
Superior Blood Leech	상급 피 흡수	translated	MAW 주문명
\n\nHealth Reserved: 	\n\n예약 생명력: 	translated	주문 툴팁
\n\nIncreases Charges by 	\n\n충전 횟수 증가: 	translated	연금술 툴팁
\n\nMana Reserved: 	\n\n예약 마나: 	translated	주문 툴팁
\n\nPress alt to show recipe list	\n\n조합법 목록을 보려면 Alt를 누르세요	translated	연금술 툴팁
\n\nYou need at least 	\n\n이 책을 열려면 최소 	translated	주문책 요구 조건 조각
 bonus to Meditation skill for 6 hours.	 (6시간)	translated	명상 보너스 조각
 skill in 	 단계 이상의 	translated	주문책 요구 조건 조각
 Spell Points	 주문력	translated	연금술 툴팁 조각
 to open the book	 기술이 필요합니다	translated	주문책 요구 조건 조각
Celestial orb is charged and it's ready to grant celestial powers to any non-Artifact Equipment	천상 오브의 충전이 완료되어 유물이 아닌 장비에 천상의 힘을 부여할 준비가 되었습니다	translated	천상 오브 설명
Charges: 	충전 횟수: 	translated	연금술 툴팁
Grants 	명상 기술 보너스 +	translated	명상 물약 설명 조각
Heals 	생명력 회복: 	translated	물약 설명 조각
Power: 	위력: 	translated	아이템 툴팁
Press alt to show craftable stats	제작 가능한 능력치를 보려면 Alt를 누르세요	translated	아이템 툴팁
Restores 	주문력 회복: 	translated	물약 설명 조각
Vampiric Aura: damage done will restore player HP.\n\n	흡혈 오라: 가한 피해에 따라 플레이어의 생명력이 회복됩니다.\n\n	translated	아이템 툴팁
Vitality: 	활력: 	translated	아이템 툴팁
