source	translation	status	notes
Melee attack costs 30 energy	근접 공격에 에너지 30을 소모합니다	translated	스킬 숙련 효과
Melee attack costs 35 energy	근접 공격에 에너지 35를 소모합니다	translated	스킬 숙련 효과
Melee attack costs 40 energy	근접 공격에 에너지 40을 소모합니다	translated	스킬 숙련 효과
Melee attack costs 45 energy	근접 공격에 에너지 45를 소모합니다	translated	스킬 숙련 효과
Melee attacks heal on hit	근접 공격 적중 시 생명력을 회복합니다	translated	스킬 숙련 효과
Retaliation can stack up to 3 times, allowing to consume all the stacks in 1 single powerful hit	반격은 최대 3회 중첩되며, 한 번의 강력한 공격으로 모든 중첩을 소모할 수 있습니다	translated	반격 숙련 효과
Triple healing effect	회복 효과가 3배가 됩니다	translated	스킬 숙련 효과
You don't meet the requirements, and cannot be taught until you do.	요구 조건을 충족하지 못했으므로, 조건을 갖출 때까지 배울 수 없습니다.	translated	스킬 교육 거절 대사
You regenerate 10 energy per second	초당 에너지 10을 회복합니다	translated	스킬 숙련 효과
You regenerate 12 energy per second	초당 에너지 12를 회복합니다	translated	스킬 숙련 효과
You regenerate 14 energy per second	초당 에너지 14를 회복합니다	translated	스킬 숙련 효과
You regenerate 8 energy per second	초당 에너지 8을 회복합니다	translated	스킬 숙련 효과
Your next attack deals additional damage, multiplied by skill level	다음 공격이 기술 레벨에 비례한 추가 피해를 줍니다	translated	반격 숙련 효과
Your next attack has a 25% chance to stun the enemy for 2 seconds	다음 공격이 25% 확률로 적을 2초 동안 기절시킵니다	translated	반격 숙련 효과
Your next attack recovery time is reduced by 30%	다음 공격의 회복 시간이 30% 감소합니다	translated	반격 숙련 효과
Allow use to Cover Spells damage	주문 피해도 엄호할 수 있습니다	translated	엄호 숙련 효과
Effects vary per spell	효과는 주문마다 다릅니다	translated	주문 숙련 공통 설명
Grants 3 Accuracy to all party per skill point	기술 포인트당 파티 전체의 정확도가 3 증가합니다	translated	주문 숙련 효과
Grants 3 Endurance to all party per skill point	기술 포인트당 파티 전체의 인내력이 3 증가합니다	translated	주문 숙련 효과
Grants 3 Intellect to all party per skill point	기술 포인트당 파티 전체의 지능이 3 증가합니다	translated	주문 숙련 효과
Grants 3 Luck to all party per skill point	기술 포인트당 파티 전체의 운이 3 증가합니다	translated	주문 숙련 효과
Grants 3 Might to all party per skill point	기술 포인트당 파티 전체의 힘이 3 증가합니다	translated	주문 숙련 효과
Grants 3 Personality to all party per skill point	기술 포인트당 파티 전체의 인격이 3 증가합니다	translated	주문 숙련 효과
Grants 3 Speed to all party per skill point	기술 포인트당 파티 전체의 민첩성이 3 증가합니다	translated	주문 숙련 효과
