source_escaped	category	occurrences	patchable_occurrences	uncertain_occurrences	reasons	files	sample_context_escaped
#\tNote\tType\tExtraType\tCreed\tStyle\tPref magic\tNoArena\tAllow ranged attacks\tAllow spells\tHP by size\tAllow replicate\tAllow summons\tSummon Id\tExtra points\tMax HP Boost (%)\n	spell	1	0	1	uncertain_context:1	Scripts/General/AdaptiveMonstersStats.lua	BolsterTxt:write("#\tNote\tType\tExtraType\tCreed\tStyle\tPref magic\tNoArena\tAllow ranged attacks\tAllow spells\tHP by size\tAllow replicate\tAllow summons\tSummon Id\tExtra points\tMax HP Boost (%)\\n")
% at novice, expert, master and grandmaster rankings per point of skill in Dragon Ability.\nEach point in the skill increases damage and increases recovery time by 3%.	spell	1	0	1	uncertain_context:1	Scripts/General/zzClasses.lua	Skillz.setDesc(23,1,"Dragons are powerful creatures with innate abilities.\\nLike the racial abilities of Dark Elves and Vampires, Dragon abilities are cast like spells, but are acquired like skills. Dragons begin able to cast Fear, the gain a second breath weapon, Flight and Wing Bugget at expert, master and grandmaster rankings.\\n\\nBreath damage is 20 + 2 per level (up to level 600, or 900 in madness) and total damage is increased by " .. dragonBreath.Damage[1] .. "-" .. dragonBreath.Damage[2] 
CanMonsterCastSpell	spell	2	0	1	reviewed_internal_api_literal:1; uncertain_context:1	Scripts/Core/events.lua	events.cocalls("CanMonsterCastSpell", t)
checkMapCompletition	spell	1	0	1	uncertain_context:1	Scripts/General/zzMaw-Timers.lua	MawAddTimer("checkMapCompletition", 10, checkMapCompletition) -- double-check this name/spelling
earth	spell	1	0	1	uncertain_context:1	Scripts/General/zzMaw-Spells.lua	local names={"fire","air","water","earth","spirit","mind","body","light","dark"}
Expert	spell	4	0	2	internal_table_key_literal:2; uncertain_context:2	Scripts/General/zzClasses.lua; Scripts/General/zzMaw-Spells.lua	spellDesc[spellID]["Expert"]=Game.SpellsTxt[value[i]].Expert
GM	spell	3	0	1	internal_table_key_literal:2; uncertain_context:1	Scripts/General/zzClasses.lua; Scripts/General/zzMaw-Spells.lua	spellDesc[spellID]["GM"]=Game.SpellsTxt[value[i]].GM
Grandmaster	spell	1	0	1	uncertain_context:1	Scripts/General/zzMaw-Spells.lua	local mastery={"Novice","Expert","Master","Grandmaster"}
Increases spell damage and healing at the expense of higher mana cost and cast time.	spell	1	0	1	uncertain_context:1	Scripts/General/zzMAW-Skills.lua	baseAscStr= "Increases spell damage and healing at the expense of higher mana cost and cast time."
light	spell	1	0	1	uncertain_context:1	Scripts/General/zzMaw-Spells.lua	local names={"fire","air","water","earth","spirit","mind","body","light","dark"}
Master	spell	8	0	2	internal_table_key_literal:2; table_schema_not_reviewed:4; uncertain_context:2	Data/Tables/Class Extra.txt; Data/Tables/Class HP SP.txt; Data/Tables/Class Skills.txt; Data/Tables/Class Skillz.txt; Scripts/General/zzClasses.lua; Scripts/General/zzMaw-Spells.lua	24\t8\t2\tMaster
Novice	spell	1	0	1	uncertain_context:1	Scripts/General/zzMaw-Spells.lua	local mastery={"Novice","Expert","Master","Grandmaster"}
shotgun	spell	2	0	1	comparison_control_literal:1; uncertain_context:1	Scripts/General/zzClasses.lua	elseif spellType=="shotgun" then
single	spell	2	0	1	comparison_control_literal:1; uncertain_context:1	Scripts/General/zzClasses.lua	if spellType=="single" then
spell	spell	7	0	6	comparison_control_literal:1; uncertain_context:6	Scripts/General/zzMaw-Items.lua; Scripts/General/zzMaw-Spells.lua; Scripts/General/zzMaw-Stats.lua	critChance, critMult, success=getCritInfo(pl,"spell")
spirit	spell	1	0	1	uncertain_context:1	Scripts/General/zzMaw-Spells.lua	local names={"fire","air","water","earth","spirit","mind","body","light","dark"}
string	spell	10	0	1	comparison_control_literal:8; lua_comment_literal:1; uncertain_context:1	Scripts/General/zzMaw-Items.lua; Scripts/General/zzMaw-Multiplayer.lua; Scripts/General/zzMaw-Spells.lua	require("string")
TargetIndex	spell	2	0	2	uncertain_context:2	Scripts/General/zzMaw-Spells.lua	local targetIdKey = mmv("TargetIndex", "TargetIndex", "TargetRosterId")
TargetRosterId	spell	1	0	1	uncertain_context:1	Scripts/General/zzMaw-Spells.lua	local targetIdKey = mmv("TargetIndex", "TargetIndex", "TargetRosterId")
Temple	spell	5	0	2	comparison_control_literal:3; uncertain_context:2	Scripts/General/zzMaw-Spells.lua	local function __is_temple(v) return v=="Temple" end
water	spell	1	0	1	uncertain_context:1	Scripts/General/zzMaw-Spells.lua	local names={"fire","air","water","earth","spirit","mind","body","light","dark"}
%d+	status	2	0	2	uncertain_context:2	Scripts/General/zzMAW-Skills.lua	Message(message:gsub("%d+", |contents| contents==tostring(learningRequirementsNormal[skillM]) and req or cost or contents))
Seraphim is a divine warrior, blessed by the gods with otherworldly powers that set him apart from mortal fighters. His origins are shrouded in mystery, but it is said that he was chosen by the divine to carry out their will on the mortal plane. Some whisper that he was born from the union of a mortal and an angel, while others believe that he was created by the gods themselves. Regardless of his origins, there is no denying the power that Seraphim wields, and his presence on the battlefield is a testament to the will of the divine.\n\nProficiency in Plate, Sword, Mace, and Shield (can't dual wield)\n3 HP and 1 mana points gained per level\n\nAbilities:\n\nGods Wrath: Attacks deal extra magic damage based on Light skill (2 damage added per point in Light and Mind)\n\nHoly Strikes: Attacking will heal the most injured party member based on Body skill (2 points per point in Body and Spirit)\n\nDivine Protection: self-heals by 25% of your HP when facing lethal attacks, 5 minutes cooldown.	tooltip	1	0	1	uncertain_context:1	Scripts/General/zzClasses.lua	Game.ClassDescriptions[53]="Seraphim is a divine warrior, blessed by the gods with otherworldly powers that set him apart from mortal fighters. His origins are shrouded in mystery, but it is said that he was chosen by the divine to carry out their will on the mortal plane. Some whisper that he was born from the union of a mortal and an angel, while others believe that he was created by the gods themselves. Regardless of his origins, there is no denying the power that Seraphim wields, and his pre
The Elementalist is the caster with the highest mana pool, who learns spells not from the book, but from casting spells of the same elemental school. He can't learn Ascension, but his ascension level is directly tied to the sum of the school levels divided by 4. Baseline spell recovery time is 50% higher; however, when he casts Magic, he gains stacks, which increase:\n\nSpell Damage: 10% per stack\nSpell Recovery Speed: 5% per stack\nMana Cost: 1 + 7.5% of the total.\n\nAfter a few seconds without casting, the stacks decay by 50%. Dealing damage with a bow, melee weapon, or from the spellbook will break concentration, instantly resetting all stacks.\n\nSpells are cast randomly but divided into three categories: Single Target, Area of Effect, and Shotgun. Depending on the chosen quick-cast spell, the rotation is adjusted accordingly. For example, setting Fireball as a quick-cast spell will automatically prioritize AoE spells.	tooltip	1	0	1	uncertain_context:1	Scripts/General/zzClasses.lua	Game.ClassDescriptions[62] = "The Elementalist is the caster with the highest mana pool, who learns spells not from the book, but from casting spells of the same elemental school. He can't learn Ascension, but his ascension level is directly tied to the sum of the school levels divided by 4. Baseline spell recovery time is 50% higher; however, when he casts Magic, he gains stacks, which increase:\\n\\nSpell Damage: 10% per stack\\nSpell Recovery Speed: 5% per stack\\nMana Cost: 1 + 7.5% of the total
The Shaman is a mystical warrior whose knowledge of magic enhances his martial prowess.\nYou can check following values by checking magic schools description in skills menu.\n - Each school will provide a unique bonus. There is strength in diversifying as well as specialization\n - Each point in Air will reduce damage a % pr rank reduced by level\n - Each point in Water will reduce damage by a flat number, making water better for weaker enemies, or if your defenses are already strong\n - Each point in spirit will increase healing and spell damage by a %\n - Fire will deal a % of current monster HP as fire damage, partially piercing this resistance. The bosskiller.\n - Each point in Earth will increase melee damage by a flat amount\n - Each point in Body will heal by flat amount\n - Each point in mind will restore a flat amount of mana	tooltip	1	0	1	uncertain_context:1	Scripts/General/zzClasses.lua	Game.ClassDescriptions[59] = "The Shaman is a mystical warrior whose knowledge of magic enhances his martial prowess.\\nYou can check following values by checking magic schools description in skills menu.\\n - Each school will provide a unique bonus. There is strength in diversifying as well as specialization\\n - Each point in Air will reduce damage a % pr rank reduced by level\\n - Each point in Water will reduce damage by a flat number, making water better for weaker enemies, or if your defenses 
This class combines the evil forces with brute power, making it powerful and versatile.\n Learning Frost/Blood/Unholy E/M/GM will unlock automatically new spells. However death knight can't learn spells from books.\n\nFrost:\n\nIncreases damage by 1-2-3 (at Novice, Master, Grandmaster levels) and boosts attack speed by 1% for every skill point invested.\n\nBlood:\n\nThis skill fortifies their resilience, reducing physical damage taken by 1% per skill point. Additionally, it endows their attacks with a leech effect, converting a portion of the damage dealt into health recovery.\n\nUnholy:\n\nIt amplifies damage by 1-2-3 (at Novice, Master, Grandmaster levels) and diminishes magical damage received by 1% for each skill point allocated.	tooltip	1	0	1	uncertain_context:1	Scripts/General/zzClasses.lua	Game.ClassDescriptions[56] = "This class combines the evil forces with brute power, making it powerful and versatile.\\n Learning Frost/Blood/Unholy E/M/GM will unlock automatically new spells. However death knight can't learn spells from books.\\n\\nFrost:\\n\\nIncreases damage by 1-2-3 (at Novice, Master, Grandmaster levels) and boosts attack speed by 1% for every skill point invested.\\n\\nBlood:\\n\\nThis skill fortifies their resilience, reducing physical damage taken by 1% per skill point. Addition
tooltip	tooltip	3	0	1	comparison_control_literal:2; uncertain_context:1	Scripts/General/zzMaw-Items.lua	if calcType~="tooltip" and vars.legendaries and vars.legendaries[id] and table.find(vars.legendaries[id], 26) then
%%d	ui	1	0	1	uncertain_context:1	Scripts/General/zzMAW-Skills.lua	t.Text=t.Text:gsub("%d+", "%%d"):format(cost)
%lu	ui	2	0	2	uncertain_context:2	Scripts/General/BountyHunt.lua	local text = Game.NPCText[133]:replace("%lu", tostring(RewardByMon(MonId)))
446561746820436f756e743a20	ui	1	0	1	uncertain_context:1	Scripts/General/zzMaw-Monsters.lua	deathCounter.Text=_H"446561746820436f756e743a20"..vars.MadnessDeathCounter
BolsterAmount	ui	2	0	2	uncertain_context:2	Scripts/General/MenuExtraSettings.lua	local VarsToStore = {"UseMonsterBolster", "BolsterAmount", "ShowWeatherEffects", "ImprovedPathfinding", "freeProgression", "Mode"}
BolsterFineTuning	ui	1	0	1	uncertain_context:1	Scripts/General/AdaptiveMonstersStats.lua	local ScreenId = CustomUI.NewSettingsPage("BolsterFineTuning", "MAW SETTINGS", "ExSetScr2")
ExSetScr	ui	1	0	1	uncertain_context:1	Scripts/General/MenuExtraSettings.lua	local ExSetScr = NewSettingsPage("MergeExtraSettings", " General settings", "ExSetScr")
ExSetScr2	ui	1	0	1	uncertain_context:1	Scripts/General/AdaptiveMonstersStats.lua	local ScreenId = CustomUI.NewSettingsPage("BolsterFineTuning", "MAW SETTINGS", "ExSetScr2")
ExtSetUp	ui	2	0	1	reviewed_internal_api_literal:1; uncertain_context:1	Scripts/General/MenuExtraSettings.lua	IconDown\t  = "ExtSetUp",
FrameLimit	ui	1	0	1	uncertain_context:1	Scripts/General/MenuExtraSettings.lua	NumberRegulator(ExSetScr, 103, 295, "FrameLimit",
freeProgression	ui	1	0	1	uncertain_context:1	Scripts/General/MenuExtraSettings.lua	local VarsToStore = {"UseMonsterBolster", "BolsterAmount", "ShowWeatherEffects", "ImprovedPathfinding", "freeProgression", "Mode"}
ImprovedPathfinding	ui	1	0	1	uncertain_context:1	Scripts/General/MenuExtraSettings.lua	local VarsToStore = {"UseMonsterBolster", "BolsterAmount", "ShowWeatherEffects", "ImprovedPathfinding", "freeProgression", "Mode"}
MergeExtraSettings	ui	1	0	1	uncertain_context:1	Scripts/General/MenuExtraSettings.lua	local ExSetScr = NewSettingsPage("MergeExtraSettings", " General settings", "ExSetScr")
Mode	ui	2	0	2	uncertain_context:2	Scripts/General/MenuExtraSettings.lua	local VarsToStore = {"UseMonsterBolster", "BolsterAmount", "ShowWeatherEffects", "ImprovedPathfinding", "freeProgression", "Mode"}
ShowWeatherEffects	ui	1	0	1	uncertain_context:1	Scripts/General/MenuExtraSettings.lua	local VarsToStore = {"UseMonsterBolster", "BolsterAmount", "ShowWeatherEffects", "ImprovedPathfinding", "freeProgression", "Mode"}
UseMonsterBolster	ui	1	0	1	uncertain_context:1	Scripts/General/MenuExtraSettings.lua	local VarsToStore = {"UseMonsterBolster", "BolsterAmount", "ShowWeatherEffects", "ImprovedPathfinding", "freeProgression", "Mode"}
Spell	item	8	0	0	internal_table_key_literal:7; table_schema_not_reviewed:1	Data/Tables/Spells2.txt; Scripts/General/zzMaw-Items.lua; Scripts/General/zzMaw-Monsters.lua	Spell\tSpellPointsNormal\tSpellPointsExpert\tSpellPointsMaster\tSpellPointsGM\tDelayNormal\tDelayExpert\tDelayMaster\tDelayGM\tDamageAdd\tDamageDiceSides
Invisible	map	2	0	0	engine_event_key_context:1; table_schema_not_reviewed:1	Data/Tables/ObjList.txt; Scripts/Maps/d19.lua	Name\tId\tRadius\tHeight\tInvisible\tUntouchable\tTemporary\tLifetimeInSFT\tNoPickup\tNoGravity\tInterceptAction\tBounce\tTrailParticles\tTrailFire\tTrailLine\tSFTGroup\tLifeTime\tSpeed\tParticleR\tParticleG\tParticleB\tParticleA
Skill	skill	7	0	0	internal_table_key_literal:6; table_schema_not_reviewed:1	Data/Tables/Extra Skillz.txt; Scripts/General/zzClasses.lua	Race\tClass\tSkill\tmodifier
SpellPointsExpert	spell	6	0	0	internal_table_key_literal:4; lua_comment_literal:1; table_schema_not_reviewed:1	Data/Tables/Spells2.txt; Scripts/General/zzMaw-Spells.lua	Spell\tSpellPointsNormal\tSpellPointsExpert\tSpellPointsMaster\tSpellPointsGM\tDelayNormal\tDelayExpert\tDelayMaster\tDelayGM\tDamageAdd\tDamageDiceSides
SpellPointsGM	spell	11	0	0	internal_table_key_literal:9; lua_comment_literal:1; table_schema_not_reviewed:1	Data/Tables/Spells2.txt; Scripts/General/zzMaw-Spells.lua	Spell\tSpellPointsNormal\tSpellPointsExpert\tSpellPointsMaster\tSpellPointsGM\tDelayNormal\tDelayExpert\tDelayMaster\tDelayGM\tDamageAdd\tDamageDiceSides
SpellPointsMaster	spell	8	0	0	internal_table_key_literal:6; lua_comment_literal:1; table_schema_not_reviewed:1	Data/Tables/Spells2.txt; Scripts/General/zzMaw-Spells.lua	Spell\tSpellPointsNormal\tSpellPointsExpert\tSpellPointsMaster\tSpellPointsGM\tDelayNormal\tDelayExpert\tDelayMaster\tDelayGM\tDamageAdd\tDamageDiceSides
SpellPointsNormal	spell	5	0	0	internal_table_key_literal:3; lua_comment_literal:1; table_schema_not_reviewed:1	Data/Tables/Spells2.txt; Scripts/General/zzMaw-Spells.lua	Spell\tSpellPointsNormal\tSpellPointsExpert\tSpellPointsMaster\tSpellPointsGM\tDelayNormal\tDelayExpert\tDelayMaster\tDelayGM\tDamageAdd\tDamageDiceSides
Earth	table	8	0	0	internal_lookup_literal:1; table_schema_not_reviewed:7	Data/Tables/Class Skills.txt; Data/Tables/Class Skillz.txt; Data/Tables/Class Starting Skills.txt; Data/Tables/Class Starting Skillz.txt; Data/Tables/ObjList.txt; Data/Tables/Race Skills.txt; Data/Tables/Race Skillz.txt; Scripts/General/zzMaw-Items.lua	Earth\tE\tM\tG\tG\t-\t-\t-\t-\tE\tM\t-\t-\tE\tM\tG\tG\t-\t-\t-\t-\t-\t-\t-\t-\t-\t-\t-\t-\t-\t-\tE\tE\tM\tM\t-\tE\tM\tM\t-\t-\t-\t-\tE\tM\tM\tG\tG\tG\t-\t-\t-\tG\tG\t-\t-\t-\t-\t-\t-\tE\tM\tG\tM\tM\tG
Halberd	table	3	0	0	comparison_control_literal:1; table_schema_not_reviewed:2	Data/Tables/ObjList.txt; Scripts/General/zzMaw-Items.lua	Halberd\t10\t64\t64\t-\t-\t-\t-\t-\t-\t-\tx\t-\t-\t-\tobj036\t0\t0\t0\t0\t0\t0
Water	table	8	0	0	internal_lookup_literal:1; table_schema_not_reviewed:7	Data/Tables/Class Skills.txt; Data/Tables/Class Skillz.txt; Data/Tables/Class Starting Skills.txt; Data/Tables/Class Starting Skillz.txt; Data/Tables/ObjList.txt; Data/Tables/Race Skills.txt; Data/Tables/Race Skillz.txt; Scripts/General/zzMaw-Items.lua	Water\tE\tM\tG\tG\t-\t-\t-\t-\tE\tM\t-\t-\tE\tM\tG\tG\t-\t-\t-\t-\t-\t-\t-\t-\t-\t-\t-\t-\t-\t-\tE\tE\tM\tM\t-\tE\tM\tM\t-\t-\t-\t-\tE\tM\tM\tG\tG\tG\t-\t-\t-\tG\tG\t-\t-\t-\tE\tM\tG\tE\tM\tG\tM\tM\tG
