source	translation	match_status	inheritance_status	category	occurrences	patchable_occurrences	variant_count	notes
N/A	N/A	exact	safe_candidate	spell	1	1	1	Exact MMMerge PO match with at least one patchable display occurrence; still review MAW wording/context before approval.
Normal	노멀	exact	safe_candidate	spell	5	1	1	Exact MMMerge PO match with at least one patchable display occurrence; still review MAW wording/context before approval.
Quick Spell	퀵스펠	exact	safe_candidate	spell	1	1	1	Exact MMMerge PO match with at least one patchable display occurrence; still review MAW wording/context before approval.
This spell is as good as it will ever get!	이 주문은 이미 최고의 성능을 발휘하고 있습니다!	exact	safe_candidate	spell	1	1	1	Exact MMMerge PO match with at least one patchable display occurrence; still review MAW wording/context before approval.
Dodging	회피	exact	safe_candidate	table	7	1	1	Exact MMMerge PO match with at least one patchable display occurrence; still review MAW wording/context before approval.
Drops a Fire Spike on the ground that waits for a creature to get near it before exploding.  Fire Spikes last until you leave the map or they are triggered.	지면에 화염 가시를 설치합니다. 근처에 적이 다가오면 폭발하며, 맵을 떠나거나 폭발할 때까지 유지됩니다.	exact	safe_candidate	tooltip	1	1	1	Exact MMMerge PO match with at least one patchable display occurrence; still review MAW wording/context before approval.
Slaps a monster with magical force, forcing it to recover from the stun spell before it can do anything else.  Stun also knocks monsters back a little, giving you a chance to get away while the getting is good.  The greater your skill in Earth Magic, the greater the effect of the spell.	마법의 힘으로 괴물을 강타하여, 기절 상태에서 회복될 때까지 아무것도 할 수 없게 만듭니다. 기절은 괴물을 뒤로 밀쳐내어 도망칠 기회를 제공합니다. 대지 마법 숙련도가 높을수록 주문의 효과가 강력해집니다.	exact	safe_candidate	tooltip	1	1	1	Exact MMMerge PO match with at least one patchable display occurrence; still review MAW wording/context before approval.
This ability is an upgraded version of the normal Dragon breath weapon attack.  It acts much like a fireball, striking its target and exploding out to hit everything near it, except the explosion does much more damage than most fireballs.	이 능력은 일반적인 용의 숨결 공격의 강화 버전입니다. 화염구와 비슷하게 작동하여 대상을 타격하고 폭발하여 근처의 모든 것을 공격하지만, 폭발 피해량은 대부분의 화염구보다 훨씬 강력합니다.	exact	safe_candidate	tooltip	2	2	1	Exact MMMerge PO match with at least one patchable display occurrence; still review MAW wording/context before approval.
Air	공기 저항 || 대기 마법	ambiguous	ambiguous	item	1	0	2	Same msgid has multiple Korean translations in MMMerge PO; manual context review required.
Armor Class	방어도 || 방어력	ambiguous	ambiguous	item	2	1	2	Same msgid has multiple Korean translations in MMMerge PO; manual context review required.
Body	신체 마법 || 육체 저항	ambiguous	ambiguous	item	1	0	2	Same msgid has multiple Korean translations in MMMerge PO; manual context review required.
Endurance	인내력 || 체력	ambiguous	ambiguous	item	4	1	2	Same msgid has multiple Korean translations in MMMerge PO; manual context review required.
Fire	불 || 화염 마법 || 화염 저항	ambiguous	ambiguous	item	2	0	3	Same msgid has multiple Korean translations in MMMerge PO; manual context review required.
Intellect	지능 || 지력	ambiguous	ambiguous	item	4	1	2	Same msgid has multiple Korean translations in MMMerge PO; manual context review required.
Luck	운 || 행운	ambiguous	ambiguous	item	2	1	2	Same msgid has multiple Korean translations in MMMerge PO; manual context review required.
Mace	메이스 || 철퇴	ambiguous	ambiguous	item	1	1	2	Same msgid has multiple Korean translations in MMMerge PO; manual context review required.
Mind	정신 마법 || 정신 저항	ambiguous	ambiguous	item	1	0	2	Same msgid has multiple Korean translations in MMMerge PO; manual context review required.
Speed	민첩성 || 속도	ambiguous	ambiguous	item	6	1	2	Same msgid has multiple Korean translations in MMMerge PO; manual context review required.
Enter	들어가기 || 입력 || 입장	ambiguous	ambiguous	map	3	0	3	Same msgid has multiple Korean translations in MMMerge PO; manual context review required.
Experience	경험 || 경험치	ambiguous	ambiguous	map	4	0	2	Same msgid has multiple Korean translations in MMMerge PO; manual context review required.
Gold	금 || 금화	ambiguous	ambiguous	map	13	0	2	Same msgid has multiple Korean translations in MMMerge PO; manual context review required.
Telelocator	순간이동 장치 || 텔레로케이터	ambiguous	ambiguous	misc	1	1	2	Same msgid has multiple Korean translations in MMMerge PO; manual context review required.
Berserk	광분 || 광폭화	ambiguous	ambiguous	monster	2	0	2	Same msgid has multiple Korean translations in MMMerge PO; manual context review required.
Blackshire	블랙샤이어 || 블랙셔	ambiguous	ambiguous	monster	2	0	2	Same msgid has multiple Korean translations in MMMerge PO; manual context review required.
New Sorpigal	뉴 소르피갈 || 뉴 소피갈	ambiguous	ambiguous	monster	4	0	2	Same msgid has multiple Korean translations in MMMerge PO; manual context review required.
Unconscious	기절 || 의식불명	ambiguous	ambiguous	monster	1	0	2	Same msgid has multiple Korean translations in MMMerge PO; manual context review required.
Skills	기술 || 스킬	ambiguous	ambiguous	skill	1	0	2	Same msgid has multiple Korean translations in MMMerge PO; manual context review required.
You don't meet the requirements, and cannot be taught until you do.	요건을 충족하지 못했습니다. 충족하기 전에는 배울 수 없습니다. || 요구 조건을 충족하지 못했으므로, 조건을 갖출 때까지 배울 수 없습니다. || 조건을 충족하지 못했으므로, 조건을 갖출 때까지 배울 수 없습니다.	ambiguous	ambiguous	skill	1	1	3	Same msgid has multiple Korean translations in MMMerge PO; manual context review required.
Effects vary per spell	고위 주문 사용 및 효과 대폭 강화 || 궁극 주문 사용 및 효과 극대화 || 상위 주문 사용 및 효과 강화 || 주문 효과 및 지속시간 향상	ambiguous	ambiguous	spell	7	7	4	Same msgid has multiple Korean translations in MMMerge PO; manual context review required.
Master	달인 || 마스터	ambiguous	ambiguous	spell	8	0	2	Same msgid has multiple Korean translations in MMMerge PO; manual context review required.
Amber	앰버 || 호박	ambiguous	ambiguous	table	1	0	2	Same msgid has multiple Korean translations in MMMerge PO; manual context review required.
Anointed Herb Potion	기름 부은 약초 물약 || 축성된 약초 물약	ambiguous	ambiguous	table	1	0	2	Same msgid has multiple Korean translations in MMMerge PO; manual context review required.
Apollo	아폴로 || 아폴론	ambiguous	ambiguous	table	1	0	2	Same msgid has multiple Korean translations in MMMerge PO; manual context review required.
Armsmaster	무기 전문가 || 무술	ambiguous	ambiguous	table	6	0	2	Same msgid has multiple Korean translations in MMMerge PO; manual context review required.
Ball of Dunduck	던덕 치즈 || 던덕 치즈 덩이	ambiguous	ambiguous	table	1	0	2	Same msgid has multiple Korean translations in MMMerge PO; manual context review required.
Black Knight	블랙 나이트 || 챔피언 || 흑기사	ambiguous	ambiguous	table	1	0	3	Same msgid has multiple Korean translations in MMMerge PO; manual context review required.
Cavalier	기사 || 중기병	ambiguous	ambiguous	table	6	0	2	Same msgid has multiple Korean translations in MMMerge PO; manual context review required.
Champion	챔피언 || 흑기사	ambiguous	ambiguous	table	4	0	2	Same msgid has multiple Korean translations in MMMerge PO; manual context review required.
Cleric	성직자 || 클레릭	ambiguous	ambiguous	table	6	0	2	Same msgid has multiple Korean translations in MMMerge PO; manual context review required.
Earth	대지 마법 || 대지 저항	ambiguous	ambiguous	table	8	0	2	Same msgid has multiple Korean translations in MMMerge PO; manual context review required.
Feather Fall	깃털 낙하 || 낙하 감쇠	ambiguous	ambiguous	table	1	0	2	Same msgid has multiple Korean translations in MMMerge PO; manual context review required.
Great Wyrm	고룡 || 그레이트 웜	ambiguous	ambiguous	table	1	0	2	Same msgid has multiple Korean translations in MMMerge PO; manual context review required.
Ground Wyvern Horn	간 와이번 뿔 || 와이번 뿔 가루	ambiguous	ambiguous	table	1	0	2	Same msgid has multiple Korean translations in MMMerge PO; manual context review required.
Heroism	영웅심 || 용맹	ambiguous	ambiguous	table	2	0	2	Same msgid has multiple Korean translations in MMMerge PO; manual context review required.
Hunter	사냥꾼 || 헌터	ambiguous	ambiguous	table	6	0	2	Same msgid has multiple Korean translations in MMMerge PO; manual context review required.
Immolation	제물 || 화염의 장막	ambiguous	ambiguous	table	2	0	2	Same msgid has multiple Korean translations in MMMerge PO; manual context review required.
Initiate	수련생 || 수련자	ambiguous	ambiguous	table	6	0	2	Same msgid has multiple Korean translations in MMMerge PO; manual context review required.
Knight	기사 || 나이트	ambiguous	ambiguous	table	6	0	2	Same msgid has multiple Korean translations in MMMerge PO; manual context review required.
Light	빛 마법 || 빛 저항	ambiguous	ambiguous	table	7	0	2	Same msgid has multiple Korean translations in MMMerge PO; manual context review required.
Lloyd's Beacon	로이드의 봉화 || 로이드의 표식	ambiguous	ambiguous	table	1	0	2	Same msgid has multiple Korean translations in MMMerge PO; manual context review required.
Log of Eldenbrie	엘덴브리 치즈 || 엘덴브리 치즈 덩어리	ambiguous	ambiguous	table	1	0	2	Same msgid has multiple Korean translations in MMMerge PO; manual context review required.
Master Archer	궁술 마스터 || 명궁	ambiguous	ambiguous	table	1	0	2	Same msgid has multiple Korean translations in MMMerge PO; manual context review required.
Memory Crystal	기억 수정 || 기억의 수정	ambiguous	ambiguous	table	2	0	2	Same msgid has multiple Korean translations in MMMerge PO; manual context review required.
Merchant	상술 || 상인	ambiguous	ambiguous	table	6	0	2	Same msgid has multiple Korean translations in MMMerge PO; manual context review required.
Minotaur Lord	미노타우로스 군주 || 미노타우로스 로드	ambiguous	ambiguous	table	1	0	2	Same msgid has multiple Korean translations in MMMerge PO; manual context review required.
Necromancer	강령술사 || 네크로맨서	ambiguous	ambiguous	table	6	0	2	Same msgid has multiple Korean translations in MMMerge PO; manual context review required.
Power Cure	강력한 치료 || 대치유	ambiguous	ambiguous	table	1	0	2	Same msgid has multiple Korean translations in MMMerge PO; manual context review required.
Repair	수리 || 아이템 수리	ambiguous	ambiguous	table	6	0	2	Same msgid has multiple Korean translations in MMMerge PO; manual context review required.
Rogue	도적 || 로그	ambiguous	ambiguous	table	6	0	2	Same msgid has multiple Korean translations in MMMerge PO; manual context review required.
Spirit	영혼 마법 || 정신	ambiguous	ambiguous	table	7	0	2	Same msgid has multiple Korean translations in MMMerge PO; manual context review required.
Staff	스태프 || 지팡이	ambiguous	ambiguous	table	8	0	2	Same msgid has multiple Korean translations in MMMerge PO; manual context review required.
Stealing	도둑질 || 소매치기 || 훔치기	ambiguous	ambiguous	table	6	0	3	Same msgid has multiple Korean translations in MMMerge PO; manual context review required.
Town Portal	도시 귀환 || 마을 포털 || 타운 포털	ambiguous	ambiguous	table	1	0	3	Same msgid has multiple Korean translations in MMMerge PO; manual context review required.
Unarmed	맨손 || 맨손 전투	ambiguous	ambiguous	table	7	1	2	Same msgid has multiple Korean translations in MMMerge PO; manual context review required.
War Troll	워 트롤 || 전투 트롤	ambiguous	ambiguous	table	1	0	2	Same msgid has multiple Korean translations in MMMerge PO; manual context review required.
Warlock	워록 || 흑마법사	ambiguous	ambiguous	table	4	0	2	Same msgid has multiple Korean translations in MMMerge PO; manual context review required.
Water	물 || 물 마법 || 물 저항	ambiguous	ambiguous	table	8	0	3	Same msgid has multiple Korean translations in MMMerge PO; manual context review required.
Wheel of Frelandeau	프렐랑도 치즈 || 프렐랑도 치즈 한 덩이	ambiguous	ambiguous	table	1	0	2	Same msgid has multiple Korean translations in MMMerge PO; manual context review required.
AC	방어	exact	no_patchable_occurrence	class	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Resistances	저항	exact	no_patchable_occurrence	class	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Bonus	보너스	exact	no_patchable_occurrence	item	8	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Bow	활	exact	no_patchable_occurrence	item	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Charges	충전 횟수	exact	no_patchable_occurrence	item	7	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Condition	상태	exact	no_patchable_occurrence	item	7	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Hardened	강화됨	exact	no_patchable_occurrence	item	7	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Location	위치	exact	no_patchable_occurrence	item	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Spell	주문	exact	no_patchable_occurrence	item	8	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Stolen	도난	exact	no_patchable_occurrence	item	7	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Two-Handed Axe	양손 도끼	exact	no_patchable_occurrence	item	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Two-Handed Sword	양손검	exact	no_patchable_occurrence	item	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
yes	예	exact	no_patchable_occurrence	item	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Yes	예	exact	no_patchable_occurrence	item	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Awards	업적	exact	no_patchable_occurrence	map	3	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Bucket	양동이	exact	no_patchable_occurrence	map	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Exit	나가기	exact	no_patchable_occurrence	map	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Inventory	인벤토리	exact	no_patchable_occurrence	map	45	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Player	플레이어	exact	no_patchable_occurrence	misc	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Abandoned Pirate Keep	버려진 해적 성채	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Abandoned Temple	버려진 신전	exact	no_patchable_occurrence	monster	4	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Agar's Laboratory	에이거의 연구소	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Alvar	알바르	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Ancient Troll Home	고대 트롤의 거처	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Arena	투기장	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Armor Halved	방어력 절반	exact	no_patchable_occurrence	monster	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Avlee	아블리	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Balthazar Lair	발타자르 소굴	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Barbarian Fortress	야만인 요새	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Barrow I	제1고분	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Barrow II	제2고분	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Barrow III	제3고분	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Barrow IV	제4고분	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Barrow IX	제9고분	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Barrow V	제5고분	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Barrow VI	제6고분	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Barrow VII	제7고분	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Barrow VIII	제8고분	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Barrow X	제10고분	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Barrow XI	제11고분	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Barrow XII	제12고분	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Barrow XIII	제13고분	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Barrow XIV	제14고분	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Barrow XV	제15고분	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Basement of the Breach	균열 지하실	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Bootleg Bay	부틀렉 베이	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Castle Alamos	알라모스 성	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Castle Darkmoor	다크무어 성	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Castle Gloaming	글로밍 성	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Castle Gryphonheart	그리폰하트 성	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Castle Harmondale	하몬데일 성	exact	no_patchable_occurrence	monster	3	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Castle Ironfist	아이언피스트 성	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Castle Kriegspire	크리그스파이어 성	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Castle Lambent	램번트 성	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Castle Navan	나반 성	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Castle of Air	공기의 성	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Castle of Fire	불의 성	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Caves of the Dragon Riders	드래곤 라이더의 동굴	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Celeste	셀레스트	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Chain of Fire	불의 사슬	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Chapel of Eep	이프 예배당	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Church of Eep	이프 교회	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Clanker's Laboratory	클랭커의 연구소	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Colony Zod	조드 식민지	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Control Center	제어 센터	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Corlagon's Estate	코라곤의 영지	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Cyclops Larder	사이클롭스 식량창고	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Dagger Wound Island	대거 운드 섬	exact	no_patchable_occurrence	monster	5	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Damage Halved	피해량 절반	exact	no_patchable_occurrence	monster	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Dark Dwarf Compound	다크 드워프 거주지	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Death	죽음	exact	no_patchable_occurrence	monster	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Devil Outpost	데빌 전초기지	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Deyja	데이자	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Dire Wolf Den	다이어 울프 소굴	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Dragon Cave	드래곤 동굴	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Dragon Hunter's Camp	드래곤 사냥꾼 야영지	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Dragon's Lair	드래곤의 소굴	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Dragonsand	드래곤샌드	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Dragoons' Caverns	드라군의 동굴	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Dragoons' Keep	드라군 성채	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Druid Circle	드루이드 서클	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Eel Infested Waters	뱀장어가 들끓는 바다	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Emerald Island	에메랄드 섬	exact	no_patchable_occurrence	monster	5	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Eradication	소멸	exact	no_patchable_occurrence	monster	1	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Erathia	에라시아	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Escaton's Crystal	에스카톤의 수정	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Escaton's Palace	에스카톤의 궁전	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Evenmorn Island	이븐모른 섬	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Fear	공포	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Fort Riverstride	리버스트라이드 요새	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
Free Haven	프리 헤이븐	exact	no_patchable_occurrence	monster	2	0	1	Exact PO match exists, but current MAW occurrences are not approved for patching.
