source	translation	status	category	patchable_occurrences	reasons	files	sample_context
"

Celestial Items cannot be upgraded with crafting Gems or Cubes, but scale with player level, up to level 1000."		untranslated	item	1	formatted_colored_text:1	Scripts/General/zzMaw-Items.lua	"txt=StrColor(120, 240, 255,""\n\nCelestial Items cannot be upgraded with crafting Gems or Cubes, but scale with player level, up to level 1000."")"
"

Celestial Items cannot be upgraded with crafting Gems or Cubes, but scale with player level, up to level 600."		untranslated	item	1	formatted_colored_text:1	Scripts/General/zzMaw-Items.lua	"txt=StrColor(120, 240, 255,""\n\nCelestial Items cannot be upgraded with crafting Gems or Cubes, but scale with player level, up to level 600."")"
"

Current AC from items: "		untranslated	item	1	formatted_colored_text:1	Scripts/General/zzMAW-Skills.lua	"Skillz.setDesc(skill,1,string.format(Skillz.getDesc(skill,1) .. ""\n\nCurrent AC from items: "" .. StrColor(255,255,100,armorAC) .. ""\n""))"
"

Item Modifier:
Two Handed Weapons: "		untranslated	item	1	formatted_colored_text:1	Scripts/General/zzAlchemy.lua	".. ""\n\nItem Modifier:\nTwo Handed Weapons: "" .. StrColor(255, 128, 0, twoHanded)"
% craft items drop chances 		untranslated	item	1	formatted_colored_text:1	Scripts/General/zzMaw-Maps.lua	"t.Enchantment=t.Enchantment .. StrColor(0, 127, 255,""\n+"" .. round((it.MaxCharges*power+power*20)/8*1.5) .. ""% craft items drop chances ""  .. ""\n+"" .. round((it.MaxCharges*power+power*20)/4) .. ""% item quality "" .. ""%\n+"" .. round((it.MaxCharges*power+power*20)/3) .. ""% monster density"")"
% item quality 		untranslated	item	1	formatted_colored_text:1	Scripts/General/zzMaw-Maps.lua	"t.Enchantment=t.Enchantment .. StrColor(0, 127, 255,""\n+"" .. round((it.MaxCharges*power+power*20)/8*1.5) .. ""% craft items drop chances ""  .. ""\n+"" .. round((it.MaxCharges*power+power*20)/4) .. ""% item quality "" .. ""%\n+"" .. round((it.MaxCharges*power+power*20)/3) .. ""% monster density"")"
% monster density		untranslated	item	1	formatted_colored_text:1	Scripts/General/zzMaw-Maps.lua	"t.Enchantment=t.Enchantment .. StrColor(0, 127, 255,""\n+"" .. round((it.MaxCharges*power+power*20)/8*1.5) .. ""% craft items drop chances ""  .. ""\n+"" .. round((it.MaxCharges*power+power*20)/4) .. ""% item quality "" .. ""%\n+"" .. round((it.MaxCharges*power+power*20)/3) .. ""% monster density"")"
Ally		untranslated	item	1	status_text_call:1	Scripts/General/zzzOnlineVariableSender.lua	"Game.ShowStatusText((t.HealerName or ""Ally"") .. "" heals you for "" .. tostring(t.Amount or 0) .. "" Hit Points"")"
Ancient 		untranslated	item	1	formatted_colored_text:1	Scripts/General/zzMaw-Items.lua	"t.Name=StrColor(255,128,0,""Ancient "" .. t.Name)"
Armor Class		untranslated	item	1	formatted_colored_text:1	Scripts/General/zzMaw-Items.lua	"itemStatName[10] = StrColor(230, 204, 128, ""Armor Class"")"
Bonus AC: 		untranslated	item	1	formatted_colored_text:1	Scripts/General/zzMAW-Skills.lua	"Skillz.setDesc(skill,1,string.format(Skillz.getDesc(skill,1) .. ""Bonus AC: "" .. StrColor(255,255,100,itemArmorClassBonus1) .. ""\n""))"
Bonus Resistances: 		untranslated	item	2	formatted_colored_text:2	Scripts/General/zzMAW-Skills.lua	"Skillz.setDesc(skill,1,string.format(Skillz.getDesc(skill,1) .. ""Bonus Resistances: "" .. StrColor(255,255,100,itemResistanceBonus1) .. ""\n""))"
Celestial 		untranslated	item	1	formatted_colored_text:1	Scripts/General/zzMaw-Items.lua	"t.Name=StrColor(120, 240, 255,""Celestial "" .. t.Name)"
Dimension Map		untranslated	item	1	known_display_name_assignment:1	Scripts/General/zzMaw-Maps.lua	"Game.ItemsTxt[290].Name=""Dimension Map"""
Endless Potion		untranslated	item	1	known_display_name_assignment:1	Scripts/General/zzAlchemy.lua	"Game.ItemsTxt[1069].Name=""Endless Potion"""
Endurance		untranslated	item	1	formatted_colored_text:1	Scripts/General/zzMaw-Items.lua	"itemStatName[4] = StrColor(0, 255, 0, ""Endurance"")"
Greater Heal		untranslated	item	4	known_display_name_assignment:4	Scripts/General/zzMaw-Items.lua; Scripts/General/zzMaw-Spells.lua	"Game.ItemsTxt[473].Name=""Greater Heal"""
Intellect		untranslated	item	1	formatted_colored_text:1	Scripts/General/zzMaw-Items.lua	"itemStatName[2] = StrColor(255, 128, 0, ""Intellect"")"
Legendary 		untranslated	item	1	formatted_colored_text:1	Scripts/General/zzMaw-Items.lua	"t.Name=StrColor(255,255,30,""Legendary "" .. t.Name)"
Luck		untranslated	item	1	formatted_colored_text:1	Scripts/General/zzMaw-Items.lua	"itemStatName[7] = StrColor(255, 255, 255, ""Luck"")"
Potion Deleted in Austerity		untranslated	item	3	known_display_name_assignment:3	Scripts/General/zzAlchemy.lua	"Game.ItemsTxt[i].Name=""Potion Deleted in Austerity"""
Potion Deleted in MAW		untranslated	item	1	known_display_name_assignment:1	Scripts/General/zzAlchemy.lua	"Game.ItemsTxt[i].Name=""Potion Deleted in MAW"""
Primordial 		untranslated	item	1	formatted_colored_text:1	Scripts/General/zzMaw-Items.lua	"t.Name=StrColor(255,0,0,""Primordial "" .. t.Name)"
Repair skill		untranslated	item	1	formatted_colored_text:1	Scripts/General/zzMaw-Items.lua	"itemStatName[18] = StrColor(255,255,153, ""Repair skill"")"
Speed		untranslated	item	1	formatted_colored_text:1	Scripts/General/zzMaw-Items.lua	"itemStatName[6] = StrColor(127, 0, 255, ""Speed"")"
yes		untranslated	item	1	question_call:1	Scripts/General/zzMaw-Monsters.lua	"answer=Question(""You activated Nightmare Mode, monsters will be much stronger and you can't save nor teleport away from them, however, items found will be much stronger.\nLeaving a dungeon before killing most of them will cause monsters to respawn.\nClearing a dungeon will grant you extra rewards.\nRespawned monsters give less experience and loot, once True Nightmare is activated there is no way back, are you sure? (yes/no)"")		if answer==""yes"" or answer==""Yes"" or answer==""YES"" then"
Yes		untranslated	item	1	question_call:1	Scripts/General/zzMaw-Monsters.lua	"answer=Question(""You activated Nightmare Mode, monsters will be much stronger and you can't save nor teleport away from them, however, items found will be much stronger.\nLeaving a dungeon before killing most of them will cause monsters to respawn.\nClearing a dungeon will grant you extra rewards.\nRespawned monsters give less experience and loot, once True Nightmare is activated there is no way back, are you sure? (yes/no)"")		if answer==""yes"" or answer==""Yes"" or answer==""YES"" then"
YES		untranslated	item	1	question_call:1	Scripts/General/zzMaw-Monsters.lua	"answer=Question(""You activated Nightmare Mode, monsters will be much stronger and you can't save nor teleport away from them, however, items found will be much stronger.\nLeaving a dungeon before killing most of them will cause monsters to respawn.\nClearing a dungeon will grant you extra rewards.\nRespawned monsters give less experience and loot, once True Nightmare is activated there is no way back, are you sure? (yes/no)"")		if answer==""yes"" or answer==""Yes"" or answer==""YES"" then"
"You activated Nightmare Mode, monsters will be much stronger and you can't save nor teleport away from them, however, items found will be much stronger.
Leaving a dungeon before killing most of them will cause monsters to respawn.
Clearing a dungeon will grant you extra rewards.
Respawned monsters give less experience and loot, once True Nightmare is activated there is no way back, are you sure? (yes/no)"		untranslated	item	1	question_call:1	Scripts/General/zzMaw-Monsters.lua	"answer=Question(""You activated Nightmare Mode, monsters will be much stronger and you can't save nor teleport away from them, however, items found will be much stronger.\nLeaving a dungeon before killing most of them will cause monsters to respawn.\nClearing a dungeon will grant you extra rewards.\nRespawned monsters give less experience and loot, once True Nightmare is activated there is no way back, are you sure? (yes/no)"")		if answer==""yes"" or answer==""Yes"" or answer==""YES"" then"
Wine Rack		untranslated	map	1	event_hint_assignment:1	Scripts/Maps/7d20.lua	"evt.hint[196] = ""Wine Rack"""
"	            %s%s "		untranslated	misc	6	formatted_colored_text:6	Scripts/General/zzMaw-Stats.lua	"Game.GlobalTxt[87]=StrColor(255, 70, 70,    string.format(resListBackup[1] .. ""\t            %s%s "",resistances2[10],""%"")) .. resistanceText[1] .. ""\n\n\n\n\n\n\n\n\n"""
"
Body Armor: "		untranslated	misc	1	formatted_colored_text:1	Scripts/General/zzAlchemy.lua	".. ""\nBody Armor: "" .. StrColor(255, 128, 0, bodyArmor)"
"
Bonus: "		untranslated	misc	1	formatted_colored_text:1	Scripts/General/zzAlchemy.lua	".. ""\nBonus: "" .. StrColor(255, 128, 0, tostring(power))"
"
Helm-Boots-Gloves-Bow: "		untranslated	misc	1	formatted_colored_text:1	Scripts/General/zzAlchemy.lua	".. ""\nHelm-Boots-Gloves-Bow: "" .. StrColor(255, 128, 0, helmEtc)"
"
Rings: "		untranslated	misc	1	formatted_colored_text:1	Scripts/General/zzAlchemy.lua	".. ""\nRings: "" .. StrColor(255, 128, 0, rings)"
  Mana: 		untranslated	misc	1	formatted_colored_text:1	Scripts/General/zzzOnlineVariableSender.lua	"StrColor(50,50,255,""  Mana: ""   .. tostring(Party[0].SP) .. ""/"" .. tostring(round(FSP)))"
%6s		untranslated	misc	1	formatted_colored_text:1	Scripts/General/zzMaw-Stats.lua	"resistanceText[i]=StrColor(0,255,0,string.format(""%6s"", resistances[9+i]))"
(client save) 		untranslated	misc	1	formatted_colored_text:1	Scripts/Modules/Multiplayer/Synchronization/SaveLoadExit.lua	"Name = StrColor(46,237,218, ""(client save) "") .. StrColor(250,250,250) .. PartyData.player_name,"
(current) 		untranslated	misc	1	formatted_colored_text:1	Scripts/Modules/Multiplayer/Synchronization/SaveLoadExit.lua	"Name = StrColor(213,70,191, ""(current) "") .. StrColor(250,250,250) .. Party[0].Name,"
(host save) 		untranslated	misc	1	formatted_colored_text:1	Scripts/Modules/Multiplayer/Synchronization/SaveLoadExit.lua	"Name = StrColor(95,235,50, ""(host save) "") .. StrColor(250,250,250) .. last_game.player_name,"
(last choice) 		untranslated	misc	1	formatted_colored_text:1	Scripts/Modules/Multiplayer/Synchronization/SaveLoadExit.lua	"last_choice.Name = StrColor(46,237,218, ""(last choice) "") .. StrColor(250,250,250) .. last_choice.data.player_name"
(Most relevant) 		untranslated	misc	1	formatted_colored_text:1	Scripts/Modules/Multiplayer/Synchronization/SaveLoadExit.lua	"choices[1].Name = StrColor(235,235,50, ""(Most relevant) "") .. choices[1].Name"
Ascended 		untranslated	misc	1	formatted_colored_text:1	Scripts/General/zzAlchemy.lua	"t.Name=StrColor(178,255,255, ""Ascended "" .. t.Name)"
Currently Active Legendary effects:		untranslated	misc	1	display_variable_assignment:1	Scripts/General/zzMaw-Stats.lua	"local legTxt=""Currently Active Legendary effects:"""
Enter the data.		untranslated	misc	3	question_call:3	Scripts/Global/Quest_SavingGoobers.lua	"Answer = Question(""Enter the data."")"
Health: 		untranslated	misc	1	formatted_colored_text:1	Scripts/General/zzzOnlineVariableSender.lua	"StrColor(0,255,0,  ""Health: "" .. tostring(Party[0].HP) .. ""/"" .. tostring(round(maxHP))) .."
"M/R/S:%s/%s/%s






"		untranslated	misc	1	formatted_colored_text:1	Scripts/General/zzMaw-Stats.lua	"Game.GlobalTxt[47]=string.format(""M/R/S:%s/%s/%s\n\n\n\n\n\n\n"",StrColor(255,0,0,DPS1),StrColor(200,200,0,DPS2),StrColor(50,50,220,DPS3))"
"M/R:%s/%s






"		untranslated	misc	1	formatted_colored_text:1	Scripts/General/zzMaw-Stats.lua	"Game.GlobalTxt[47]=string.format(""M/R:%s/%s\n\n\n\n\n\n\n"",StrColor(255,0,0,DPS1),StrColor(200,200,0,DPS2))"
NPC %d		untranslated	misc	1	display_field_assignment:1	Scripts/General/NPCFollowers.lua	"Label = strformat(""NPC %d"", i),"
NPC PANEL		untranslated	misc	1	display_field_assignment:1	Scripts/General/NPCFollowers.lua	"MF.RegisterExtraKeyBind({DefKey = 0x30, RegValue = ""xkey_npcpanel"", Label = ""NPC PANEL"","
"Vitality: %s







"		untranslated	misc	1	formatted_colored_text:1	Scripts/General/zzMaw-Stats.lua	"Game.GlobalTxt[172]=string.format(""Vitality: %s\n\n\n\n\n\n\n\n"",StrColor(0,255,0,vitality))"
The dungeon has already been cleared, but you have the option to reset it and attempt it once more with even harder monsters. Please note that no completion rewards will be given for this reset. Would you like to proceed with resetting the dungeon? (yes/no)		untranslated	monster	1	display_variable_assignment:1	Scripts/General/zzMaw-Maps.lua	"resetTxt=""The dungeon has already been cleared, but you have the option to reset it and attempt it once more with even harder monsters. Please note that no completion rewards will be given for this reset. Would you like to proceed with resetting the dungeon? (yes/no)"""
"

Balancing power and vitality leads to the highest damage.
"		untranslated	skill	1	formatted_colored_text:1	Scripts/General/zzMAW-Skills.lua	"Skillz.setDesc(53, 1, ""After mastering the art of covering, you have become capable delivering deadly counter attacks to those who dare try harm your allies. Retaliation has a 1% per skill point chance to activate after successfully covering an ally.\n\nExpert, Master and Grandmaster are learned automatically at skill 12, 30 and 50.\n\nDamage done depends on 2 coefficients, multiplied then by skill level:\n\nMelee Power coefficient: "" .. StrColor(255,0,0, power) .. ""\nVitality coefficient: "" .. "
"

Press M to enable/disable"		untranslated	skill	2	formatted_colored_text:2	Scripts/General/zzMAW-Skills.lua	"local txt=""Mana shield consume mana to reduce damage when an hit would take you below a certain threshold.\n\nIf available, Expert, Master and Grandmaster is learned at skill 6-12-20.\n\nMastery increase its mana efficience.\n"" .. ""Current Damage reduction per Mana: "" .. StrColor(178,255,255, efficiency) .. ""\n\nPress M to enable/disable"""
"

Total Damage: "		untranslated	skill	1	formatted_colored_text:1	Scripts/General/zzMAW-Skills.lua	"Skillz.setDesc(53, 1, ""After mastering the art of covering, you have become capable delivering deadly counter attacks to those who dare try harm your allies. Retaliation has a 1% per skill point chance to activate after successfully covering an ally.\n\nExpert, Master and Grandmaster are learned automatically at skill 12, 30 and 50.\n\nDamage done depends on 2 coefficients, multiplied then by skill level:\n\nMelee Power coefficient: "" .. StrColor(255,0,0, power) .. ""\nVitality coefficient: "" .. "
"
Currently disabled
"		untranslated	skill	2	formatted_colored_text:2	Scripts/General/zzMAW-Skills.lua	"txt=txt .. StrColor(255,0,0,""\nCurrently disabled\n"")"
"
Currently enabled
"		untranslated	skill	2	formatted_colored_text:2	Scripts/General/zzMAW-Skills.lua	"txt=txt .. StrColor(0,255,0,""\nCurrently enabled\n"")"
"
Knights can learn up to a Supreme level, which is learned automatically at skill level "		untranslated	skill	1	display_variable_assignment:1	Scripts/General/zzMAW-Skills.lua	"local descTxt=descTxt .. ""\nKnights can learn up to a Supreme level, which is learned automatically at skill level "" .. requirement .. "".\n"""
"
Vitality coefficient: "		untranslated	skill	1	formatted_colored_text:1	Scripts/General/zzMAW-Skills.lua	"Skillz.setDesc(53, 1, ""After mastering the art of covering, you have become capable delivering deadly counter attacks to those who dare try harm your allies. Retaliation has a 1% per skill point chance to activate after successfully covering an ally.\n\nExpert, Master and Grandmaster are learned automatically at skill 12, 30 and 50.\n\nDamage done depends on 2 coefficients, multiplied then by skill level:\n\nMelee Power coefficient: "" .. StrColor(255,0,0, power) .. ""\nVitality coefficient: "" .. "
"%s

Current HP Regeneration: %s
Next Level Bonus: %s HP Regen"		untranslated	skill	1	formatted_colored_text:1	Scripts/General/zzMAW-Skills.lua	"local txt = string.format(""%s\n\nCurrent HP Regeneration: %s\nNext Level Bonus: %s HP Regen"",baseRegStr,StrColor(0,255,0,hpRegen),StrColor(0,255,0,""+"" .. hpRegen2-hpRegen))"
"After mastering the art of covering, you have become capable delivering deadly counter attacks to those who dare try harm your allies. Retaliation has a 1% per skill point chance to activate after successfully covering an ally.

Expert, Master and Grandmaster are learned automatically at skill 12, 30 and 50.

Damage done depends on 2 coefficients, multiplied then by skill level:

Melee Power coefficient: "		untranslated	skill	1	formatted_colored_text:1	Scripts/General/zzMAW-Skills.lua	"Skillz.setDesc(53, 1, ""After mastering the art of covering, you have become capable delivering deadly counter attacks to those who dare try harm your allies. Retaliation has a 1% per skill point chance to activate after successfully covering an ally.\n\nExpert, Master and Grandmaster are learned automatically at skill 12, 30 and 50.\n\nDamage done depends on 2 coefficients, multiplied then by skill level:\n\nMelee Power coefficient: "" .. StrColor(255,0,0, power) .. ""\nVitality coefficient: "" .. "
Current Damage reduction per Mana: 		untranslated	skill	2	formatted_colored_text:2	Scripts/General/zzMAW-Skills.lua	"local txt=""Mana shield consume mana to reduce damage when an hit would take you below a certain threshold.\n\nIf available, Expert, Master and Grandmaster is learned at skill 6-12-20.\n\nMastery increase its mana efficience.\n"" .. ""Current Damage reduction per Mana: "" .. StrColor(178,255,255, efficiency) .. ""\n\nPress M to enable/disable"""
"Mana shield consume mana to reduce damage when an hit would take you below a certain threshold.

If available, Expert, Master and Grandmaster is learned at skill 6-12-20.

Mastery increase its mana efficience.
"		untranslated	skill	1	formatted_colored_text:1	Scripts/General/zzMAW-Skills.lua	"local txt=""Mana shield consume mana to reduce damage when an hit would take you below a certain threshold.\n\nIf available, Expert, Master and Grandmaster is learned at skill 6-12-20.\n\nMastery increase its mana efficience.\n"" .. ""Current Damage reduction per Mana: "" .. StrColor(178,255,255, efficiency) .. ""\n\nPress M to enable/disable"""
"Mana shield consume mana to reduce damage when an hit would take you below a certain threshold.

If available, Expert, Master and Grandmaster is learned at skill 8-20-32.

Mastery increase its mana efficience.
"		untranslated	skill	1	formatted_colored_text:1	Scripts/General/zzMAW-Skills.lua	"txt=""Mana shield consume mana to reduce damage when an hit would take you below a certain threshold.\n\nIf available, Expert, Master and Grandmaster is learned at skill 8-20-32.\n\nMastery increase its mana efficience.\n"" .. ""Current Damage reduction per Mana: "" .. StrColor(178,255,255, efficiency) .. ""\n\nPress M to enable/disable"""
"

Can't learn"		untranslated	spell	1	formatted_colored_text:1	Scripts/General/zzMaw-Spells.lua	"local txt=StrColor(255,0,0,""\n\nCan't learn"")"
"

Not Learned"		untranslated	spell	1	formatted_colored_text:1	Scripts/General/zzMaw-Spells.lua	"txt=StrColor(255,0,0,""\n\nNot Learned"")"
"
Active ("		untranslated	spell	1	formatted_colored_text:1	Scripts/General/zzMaw-Spells.lua	"txt=StrColor(0,255,0,""\nActive ("" .. Party[j].Name .. "")"")"
"
Active("		untranslated	spell	1	formatted_colored_text:1	Scripts/General/zzMaw-Spells.lua	"txt=StrColor(0,255,0,""\nActive("" .. Party[j].Name .. "")"")"
"
Not Active"		untranslated	spell	2	formatted_colored_text:2	Scripts/General/zzMaw-Spells.lua	"local txt=StrColor(255,0,0,""\nNot Active"")"
 Hit Points		untranslated	spell	3	formatted_colored_text:2; status_text_call:1	Scripts/General/zzAlchemy.lua; Scripts/General/zzzOnlineVariableSender.lua	"t.Description=StrColor(255,255,153,""Heals "" .. round(t.Item.Bonus^1.75)+10 .. "" Hit Points"") .. ""\n"" .. t.Description"
"%s

Increases spell points based on SP per level and mastery

Current SP Regeneration: %s
Next Level Bonus: %s SP Regen
"		untranslated	spell	1	formatted_colored_text:1	Scripts/General/zzMAW-Skills.lua	"txt= string.format(""%s\n\nIncreases spell points based on SP per level and mastery\n\nCurrent SP Regeneration: %s\nNext Level Bonus: %s SP Regen\n"",baseMedStr,StrColor(60,60,255,spRegen),StrColor(60,60,255,""+"" .. spRegen2))"
Asphyxiate		untranslated	spell	1	known_display_name_assignment:1	Scripts/General/zzClasses.lua	"Game.SpellsTxt[76].Name=""Asphyxiate"""
Blood Leech		untranslated	spell	1	known_display_name_assignment:1	Scripts/General/zzClasses.lua	"Game.SpellsTxt[68].Name=""Blood Leech"""
Chain Lightning		untranslated	spell	1	known_display_name_assignment:1	Scripts/General/zzMaw-Spells.lua	"Game.SpellsTxt[18].Name=""Chain Lightning"""
Death Breath		untranslated	spell	1	known_display_name_assignment:1	Scripts/General/zzClasses.lua	"Game.SpellsTxt[97].Name=""Death Breath"""
Death Coil		untranslated	spell	1	known_display_name_assignment:1	Scripts/General/zzClasses.lua	"Game.SpellsTxt[90].Name=""Death Coil"""
Death Grasp		untranslated	spell	1	known_display_name_assignment:1	Scripts/General/zzClasses.lua	"Game.SpellsTxt[96].Name=""Death Grasp"""
Frostbite		untranslated	spell	1	known_display_name_assignment:1	Scripts/General/zzClasses.lua	"Game.SpellsTxt[29].Name=""Frostbite"""
Ice Bomb		untranslated	spell	1	known_display_name_assignment:1	Scripts/General/zzClasses.lua	"Game.SpellsTxt[32].Name=""Ice Bomb"""
Icy Touch		untranslated	spell	1	known_display_name_assignment:1	Scripts/General/zzClasses.lua	"Game.SpellsTxt[26].Name=""Icy Touch"""
"Melee Power: %s
Ranged Power: %s
Spell Power: %s"		untranslated	spell	1	formatted_colored_text:1	Scripts/General/zzMaw-Stats.lua	"local txt=string.format(""Melee Power: %s\nRanged Power: %s\nSpell Power: %s"",StrColor(255,0,0,DPS1),StrColor(200,200,0,DPS2),StrColor(50,50,220,DPS3))"
SpellPoints		untranslated	spell	1	status_text_call:1	Scripts/General/zzMaw-Spells.lua	"Game.ShowStatusText(id .. ""  "" .. spellCast .. ""  "" ..Game.Spells[spellCast][""SpellPoints"" .. masteryName[m] ])"
Superior Blood Leech		untranslated	spell	1	known_display_name_assignment:1	Scripts/General/zzClasses.lua	"Game.SpellsTxt[74].Name=""Superior Blood Leech"""
"

Subsequent spawn failure reasons:
"		untranslated	status	1	display_variable_assignment:1	Scripts/General/pseudoSpawnpoint.lua	"local errorMessage = ""\nCouldn't spawn monster, spawnpoint data: "" .. dump(t) .. ""\n\nSubsequent spawn failure reasons:\n"" .. table.concat(t2, ""\n"")"
"
Couldn't spawn monster, spawnpoint data: "		untranslated	status	1	display_variable_assignment:1	Scripts/General/pseudoSpawnpoint.lua	"local errorMessage = ""\nCouldn't spawn monster, spawnpoint data: "" .. dump(t) .. ""\n\nSubsequent spawn failure reasons:\n"" .. table.concat(t2, ""\n"")"
BossDebug AUTO: OFF		untranslated	status	1	status_text_call:1	Scripts/General/zzBossSync.lua	"Game.ShowStatusText(mapvars.bossDebugAuto and ""BossDebug AUTO: ON"" or ""BossDebug AUTO: OFF"")"
BossDebug AUTO: ON		untranslated	status	1	status_text_call:1	Scripts/General/zzBossSync.lua	"Game.ShowStatusText(mapvars.bossDebugAuto and ""BossDebug AUTO: ON"" or ""BossDebug AUTO: OFF"")"
BossDebug: impossible d’écrire boss_dump.txt		untranslated	status	1	status_text_call:1	Scripts/General/zzBossSync.lua	"if Game and Game.ShowStatusText then Game.ShowStatusText(""BossDebug: impossible d’écrire boss_dump.txt"") end"
BossDebug: écrit dans boss_dump.txt		untranslated	status	1	status_text_call:1	Scripts/General/zzBossSync.lua	"if Game and Game.ShowStatusText then Game.ShowStatusText(""BossDebug: écrit dans boss_dump.txt"") end"
MAW: ALL BUFFS NUKED (SAFE)		untranslated	status	1	status_text_call:1	Scripts/General/zzMaw-Multiplayer.lua	"if Game and Game.ShowStatusText then Game.ShowStatusText(""MAW: ALL BUFFS NUKED (SAFE)"") end"
MAW: apply (safe)		untranslated	status	1	status_text_call:1	Scripts/General/zzMaw-Multiplayer.lua	"if Game and Game.ShowStatusText then Game.ShowStatusText(""MAW: apply (safe)"") end"
SUPREME UNLOCKED!!!		untranslated	status	1	status_text_call:1	Scripts/General/zzMAW-Skills.lua	"Game.ShowStatusText(""SUPREME UNLOCKED!!!"")"
"

Health Reserved: "		untranslated	tooltip	2	formatted_colored_text:2	Scripts/General/zzMaw-Spells.lua	"Game.SpellsTxt[sp].Description=Game.SpellsTxt[sp].Description .. ""\n\nHealth Reserved: "" .. StrColor(0,255,0,percent .. ""%"" .. txt)"
"

Increases Charges by "		untranslated	tooltip	1	formatted_colored_text:1	Scripts/General/zzAlchemy.lua	"t.Description=t.Description .. StrColor(255,255,30, ""\n\nIncreases Charges by "" .. t.Item.BonusStrength)"
"

Mana Reserved: "		untranslated	tooltip	2	formatted_colored_text:2	Scripts/General/zzMaw-Spells.lua	"Game.SpellsTxt[sp].Description=Game.SpellsTxt[sp].Description .. ""\n\nMana Reserved: "" .. StrColor(0,100,255,percent .. ""%"" .. txt)"
"

Press alt to show recipe list"		untranslated	tooltip	1	formatted_colored_text:1	Scripts/General/zzAlchemy.lua	"t.Description=t.Description .. StrColor(100,100,100,""\n\nPress alt to show recipe list"")"
"

You need at least "		untranslated	tooltip	1	formatted_colored_text:1	Scripts/General/zzMaw-Spells.lua	"t.Description=t.Description .. StrColor(255,0,0, ""\n\nYou need at least "" .. mastery[m] .. "" skill in "" ..  name .. "" to open the book"")"
