source	category	uncertain_occurrences	all_occurrences	reasons	files	mmmerge_status	mmmerge_suggestion	sample_context
%s  %s|	class	8	8	uncertain_context:8	Scripts/General/zzClasses.lua; Scripts/General/zzMAW-Skills.lua			"normal=string.format(""%s  %s|"",normal,dragonScales.AC[1])"
damage	class	6	9	comparison_control_literal:2; lua_comment_literal:1; uncertain_context:6	Scripts/General/zzClasses.lua; Scripts/General/zzMaw-Spells.lua			"local damage1=calcFireAuraDamage(pl, it, 0, false, false, ""damage"")"
%s      %s|	class	4	4	uncertain_context:4	Scripts/General/zzClasses.lua			"normal=string.format(""%s      %s|"",normal,dragonFang.Attack[1])"
%s     %s|	class	4	4	uncertain_context:4	Scripts/General/zzClasses.lua			"normal=string.format(""%s     %s|"",normal,dragonFang.Damage[1])"
Merc	class	1	1	uncertain_context:1	Scripts/General/NPCMercenaries.lua			"Quests[""Merc"" .. k].Texts.Ungive = string.format(Game.NPCText[1680], Char.Name, ClassSelfImpressions[math.min(math.ceil(Char.LevelBase/10), 5)], Game.ClassNames[Char.Class])"
ArmorClass	item	1	2	internal_lookup_literal:1; uncertain_context:1	Scripts/Structs/extraEditableDescriptions.lua			"simpleParam(""ArmorClass"", armorClassEntry)"
FullHP,ArmorClass,MoveSpeed,Attack2Chance,Spell,Spell2,SpellChance,SpellSkill,Spell2Chance,Spell2Skill,SpecialA,SpecialB,SpecialC,SpecialD,Experience,TreasureItemPercent,TreasureItemLevel,Level	item	1	1	uncertain_context:1	Scripts/General/AdaptiveMonstersStats.lua			"local MonTxtDumpFields = ""FullHP,ArmorClass,MoveSpeed,Attack2Chance,Spell,Spell2,SpellChance,SpellSkill,Spell2Chance,Spell2Skill,SpecialA,SpecialB,SpecialC,SpecialD,Experience,TreasureItemPercent,TreasureItemLevel,Level"""
Uncom.	item	1	3	internal_lookup_literal:2; uncertain_context:1	Scripts/General/zz_Maw-initialize.lua			"createSwitch(340, ""Loot Filter"", ""lootFilter"", {""OFF"",""Common"", ""Uncom."", ""Rare"", ""Epic"",""Ancient"",""Primordial""})"
Current	map	3	7	engine_event_key_context:4; uncertain_context:3	Scripts/Maps/pyramid.lua			"evt.FaceExpression{""Current"", 44}"
0x%X	misc	14	14	uncertain_context:14	Scripts/Structs/After/RemoveSkillValueLimits.lua			"local MaxSkillValStr, MaxSkillValHStr = strformat(""0x%X"", MaxSkillVal), strformat(""0x%X"", MaxSkillValH)"
evtnpc-b	misc	3	3	uncertain_context:3	Scripts/General/NPCFollowers.lua			"IconUp = ""evtnpc-b"","
%%([%w_]*)%%	misc	1	1	uncertain_context:1	Scripts/Core/events.lua			"return code:gsub(""%%([%w_]*)%%"", t.ref)"
%.10f	misc	1	1	uncertain_context:1	Scripts/General/zz_Maw-initialize.lua			"local s = string.format(""%.10f"", x)  -- enough precision buffer"
"%d:	reason: %s		x: %d	y: %d	z: %d"	misc	1	1	uncertain_context:1	Scripts/General/pseudoSpawnpoint.lua			"table.insert(t2, string.format(""%d:	reason: %s		x: %d	y: %d	z: %d"", i, unpack(v)))"
%s: %s	misc	1	1	uncertain_context:1	Scripts/Modules/Multiplayer/UI/GlobalMap.lua			"table.insert(texts, (""%s: %s""):format(name, Game.MapStats[client.map].Name))"
%s: invalid player pointer in GetPlayerFromPtr - 0x%X	misc	1	1	uncertain_context:1	Scripts/Structs/After/RemoveSkillValueLimits.lua			"MF.Log(Merge.Log.Error, ""%s: invalid player pointer in GetPlayerFromPtr - 0x%X"", LogId, ptr)"
%s: x:%d, y:%d	misc	1	1	uncertain_context:1	Scripts/Modules/Multiplayer/UI/GlobalMap.lua			"table.insert(texts, (""%s: x:%d, y:%d""):format(name, mon.X, mon.Y))"
6Flower01	misc	1	1	uncertain_context:1	Scripts/General/zzMaw-Maps.lua			"[""flower01""] = ""6Flower01"","
6Flower02	misc	1	1	uncertain_context:1	Scripts/General/zzMaw-Maps.lua			"[""flower02""] = ""6Flower02"","
6Flower03	misc	1	1	uncertain_context:1	Scripts/General/zzMaw-Maps.lua			"[""flower03""] = ""6Flower03"","
6Flower04	misc	1	1	uncertain_context:1	Scripts/General/zzMaw-Maps.lua			"[""flower04""] = ""6Flower04"","
6Flower05	misc	1	1	uncertain_context:1	Scripts/General/zzMaw-Maps.lua			"[""flower05""] = ""6Flower05"","
6Flower06	misc	1	1	uncertain_context:1	Scripts/General/zzMaw-Maps.lua			"[""flower06""] = ""6Flower06"","
6Flower07	misc	1	1	uncertain_context:1	Scripts/General/zzMaw-Maps.lua			"[""flower07""] = ""6Flower07"","
6Flower08	misc	1	1	uncertain_context:1	Scripts/General/zzMaw-Maps.lua			"[""flower08""] = ""6Flower08"","
6Flower09	misc	1	1	uncertain_context:1	Scripts/General/zzMaw-Maps.lua			"[""flower09""] = ""6Flower09"","
6Flower10	misc	1	1	uncertain_context:1	Scripts/General/zzMaw-Maps.lua			"[""flower10""] = ""6Flower10"","
6Flower11	misc	1	1	uncertain_context:1	Scripts/General/zzMaw-Maps.lua			"[""flower11""] = ""6Flower11"","
6Flower12	misc	1	1	uncertain_context:1	Scripts/General/zzMaw-Maps.lua			"[""flower12""] = ""6Flower12"","
6Flower13	misc	1	1	uncertain_context:1	Scripts/General/zzMaw-Maps.lua			"[""flower13""] = ""6Flower13"","
[%03d] %s  (nid=%d, id=%d %s)	misc	1	1	uncertain_context:1	Scripts/General/zzBossSync.lua			"table.insert(lines, string.format(""[%03d] %s  (nid=%d, id=%d %s)"", idx or -1, tostring(name), nid or -1, mid or -1, tierName(mid)))"
[%03d] %s  (nid=%d, id=%d %s)%s	misc	1	1	uncertain_context:1	Scripts/General/zzBossSync.lua			"table.insert(lines, string.format(""[%03d] %s  (nid=%d, id=%d %s)%s"","
[%s] %s — %d boss | checksum=%d	misc	1	1	uncertain_context:1	Scripts/General/zzBossSync.lua			"_last_dump_hdr = string.format(""[%s] %s — %d boss | checksum=%d"", who, mapname, n, chksum)"
[0x40CAC1]	misc	1	1	uncertain_context:1	Scripts/Core/events.lua			"MapStats = ""[0x40CAC1]"","
[0x410FB2]	misc	1	1	uncertain_context:1	Scripts/Core/events.lua			"MapStats = mm78(""[0x410FB2]"", ""[0x41336B]""),"
[0x41336B]	misc	1	1	uncertain_context:1	Scripts/Core/events.lua			"MapStats = mm78(""[0x410FB2]"", ""[0x41336B]""),"
\x1B%c%c%c%s	misc	1	1	uncertain_context:1	Scripts/General/zzzOnlineVariableSender.lua			"return string.format(""\x1B%c%c%c%s"", clamp(r,0,255),clamp(g,0,255),clamp(b,0,255), s or """")"
Aucun boss détecté.	misc	1	1	uncertain_context:1	Scripts/General/zzBossSync.lua			"table.insert(_queue, ""Aucun boss détecté."")"
BOSS %d/%d — %s	misc	1	1	uncertain_context:1	Scripts/General/zzBossSync.lua			"table.insert(_queue, string.format(""BOSS %d/%d — %s"", i, N, L))"
Charge telelocator	misc	1	1	uncertain_context:1	Scripts/Global/Quest_SavingGoobers.lua			"Topic	= ""Charge telelocator"","
client	misc	1	1	uncertain_context:1	Scripts/General/zzBossSync.lua			"{ DataType = ""mawBossNamesReq"", map = (Map and Map.Name) or """", sender = (Multiplayer.player_id or ""client"") },"
Day-o-Gods	misc	1	1	uncertain_context:1	Scripts/General/MiscTweaks.lua			"DayGods, DeadlySwarm, FlyingFist = ""Day-o-Gods"", ""Deadly"", ""Flying"""
débil	misc	1	1	uncertain_context:1	Scripts/General/zzMaw-Multiplayer.lua			"__MAW_IDX.Weak = __find_cond_idx({""weak"",""faib"",""schwach"",""débil"",""debil""})"
Error in HitPlayer handler: invalid player slot: %s / [0, %s]	misc	1	1	uncertain_context:1	Scripts/Core/events.lua			"_G.Log(_G.Merge.Log.Error, ""Error in HitPlayer handler: invalid player slot: %s / [0, %s]"", slot, Party.count)"
Following you would be foolish	misc	1	1	uncertain_context:1	Scripts/General/NPCFollowers.lua			"Game.NPCTopic[1680]=""Following you would be foolish"""
inc dword [ebp - 0x14]	misc	1	1	uncertain_context:1	Scripts/Structs/extraEditableDescriptions.lua			"asmpatch(0x41D5D1, ""inc dword [ebp - 0x14]"")"
inc dword [ebp - 8]	misc	1	1	uncertain_context:1	Scripts/Structs/extraEditableDescriptions.lua			"asmpatch(0x41D438, ""inc dword [ebp - 8]"")"
Init finished: %s	misc	1	1	uncertain_context:1	Scripts/Structs/After/RemoveSkillValueLimits.lua			"Log(Merge.Log.Info, ""Init finished: %s"", LogId)"
Init started: %s	misc	1	1	uncertain_context:1	Scripts/Structs/After/RemoveSkillValueLimits.lua			"Log(Merge.Log.Info, ""Init started: %s"", LogId)"
jmp absolute 0x41E0EF	misc	1	1	uncertain_context:1	Scripts/Structs/extraEditableDescriptions.lua			"asmpatch(0x41E07F, ""jmp absolute 0x41E0EF"")"
luadata.bin	misc	1	1	uncertain_context:1	Scripts/Core/events.lua			"local f = call(offsets.FindFileInLod, 1, offsets.SaveGameLod, ""luadata.bin"", 1)"
luadata.bin\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0	misc	1	1	uncertain_context:1	Scripts/Core/events.lua			"mem.copy(savehdr, ""luadata.bin\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0"", 0x20)"
mawBossNamesReq	misc	1	1	uncertain_context:1	Scripts/General/zzBossSync.lua			"{ DataType = ""mawBossNamesReq"", map = (Map and Map.Name) or """", sender = (Multiplayer.player_id or ""client"") },"
mov [%p%], eax	misc	1	1	uncertain_context:1	Scripts/Core/events.lua			HookManager{p = p}.asmhook(0x411C71, 'mov [%p%], eax')
mov edx, eax	misc	1	1	uncertain_context:1	Scripts/Structs/extraEditableDescriptions.lua			"asmpatch(0x41D41C, ""mov edx, eax"")"
MUI_	misc	1	1	uncertain_context:1	Scripts/General/zz_Maw-initialize.lua			"Key = ""MUI_"" .. tostring(TextCounter),"
Negative attacker ref in events.lua Who(i, action): %s	misc	1	1	uncertain_context:1	Scripts/Core/events.lua			"_G.Log(_G.Merge.Log.Error, ""Negative attacker ref in events.lua Who(i, action): %s"", i)"
no enchants	misc	1	2	comparison_control_literal:1; uncertain_context:1	Scripts/General/zzAlchemy.lua			"return ""no enchants"""
Option 1	misc	1	1	uncertain_context:1	Scripts/General/zz_Maw-initialize.lua			"Options = Options or {""Option 1"", ""Option 2""},"
Option 2	misc	1	1	uncertain_context:1	Scripts/General/zz_Maw-initialize.lua			"Options = Options or {""Option 1"", ""Option 2""},"
resetting	misc	1	2	comparison_control_literal:1; uncertain_context:1	Scripts/General/zzMaw-Maps.lua			"vars.dungeonCompletedList[Game.MapStats[i].Name]=""resetting"""
Saves/MultiplayerAutosave.bin	misc	1	1	uncertain_context:1	Scripts/Modules/Multiplayer/Synchronization/SaveLoadExit.lua			"local AutosaveFilePath = ""Saves/MultiplayerAutosave.bin"""
Saves/MultiplayerGames.bin	misc	1	1	uncertain_context:1	Scripts/Modules/Multiplayer/Synchronization/SaveLoadExit.lua			"local DataFilePath = ""Saves/MultiplayerGames.bin"""
SG_Activate!	misc	1	1	uncertain_context:1	Scripts/Global/Quest_SavingGoobers.lua			"Name	= ""SG_Activate!"","
sub dword [ds:0x509cac], 	misc	1	1	uncertain_context:1	Scripts/General/MiscTweaks.lua			"local patch = ""sub dword [ds:0x509cac], "" .. mul"
SV1_	misc	1	1	uncertain_context:1	Scripts/Modules/Multiplayer/Synchronization/SaveLoadExit.lua			"local SAVE_VERSION_TOKEN = ""SV1_"""
Synchronization/%s	misc	1	1	uncertain_context:1	Scripts/Modules/Multiplayer/Synchronization.lua			"local folder = ""Synchronization/%s"""
 .. lowerLimit .. 	monster	2	2	uncertain_context:2	Scripts/General/zzMaw-Monsters.lua			"00000	050"" .. lowerLimit .. ""-"" .. upperLimit .. "" "" .. text)"
63757272656e745f73656564	monster	2	2	uncertain_context:2	Scripts/General/zzMaw-Monsters.lua			"if k==_H""63757272656e745f73656564"" then"
"Errors in ""Bolster - monsters.txt"":
"	monster	2	2	uncertain_context:2	Scripts/General/AdaptiveMonstersStats.lua			"Warning = 'Errors in ""Bolster - monsters.txt"":\n'"
MaxDamage	monster	2	2	uncertain_context:2	Scripts/General/AdaptiveMonstersStats.lua			"MaxDamage = ProcessFormula(MonKind, ""MaxDamage"", MaxDamage)"
MonsterType	monster	2	2	uncertain_context:2	Scripts/General/AdaptiveMonstersStats.lua			"Type 		= GetProp(Words[3], ""MonsterType"", CurId),"
 .. name .. 	monster	1	1	uncertain_context:1	Scripts/General/zzMaw-Monsters.lua			"00000	040"" .. name .. "" "" .. lowerLimit .. ""-"" .. upperLimit)"
 .. upperLimit .. 	monster	1	1	uncertain_context:1	Scripts/General/zzMaw-Monsters.lua			"00000	050"" .. lowerLimit .. ""-"" .. upperLimit .. "" "" .. text)"
%s: Monster with incorrect Id (%s) at %s %s %s	monster	1	1	uncertain_context:1	Scripts/General/AdaptiveMonstersStats.lua			"Log(Merge.Log.Error, ""%s: Monster with incorrect Id (%s) at %s %s %s"", Map.Name, v.Id, v.X, v.Y, v.Z)"
, type: 	monster	1	1	uncertain_context:1	Scripts/General/AdaptiveMonstersStats.lua			"Warning = Warning .. ""Undefined property, line: "" .. i .. "", type: "" .. Type .. ""\n"""
2e746d70	monster	1	1	uncertain_context:1	Scripts/General/zzMaw-Monsters.lua			"local tmp = _F .. _H""2e746d70"""
4d6f64756c6573	monster	1	1	uncertain_context:1	Scripts/General/zzMaw-Monsters.lua			"local _J=table.concat({_H""53637269707473"",_H""4d6f64756c6573"",_H""4d756c7469706c61796572"",_H""53796e6368726f6e697a6174696f6e"",_H""506c6179657273""},_p)"
4d756c7469706c61796572	monster	1	1	uncertain_context:1	Scripts/General/zzMaw-Monsters.lua			"local _J=table.concat({_H""53637269707473"",_H""4d6f64756c6573"",_H""4d756c7469706c61796572"",_H""53796e6368726f6e697a6174696f6e"",_H""506c6179657273""},_p)"
506c61796572446174612e747874	monster	1	1	uncertain_context:1	Scripts/General/zzMaw-Monsters.lua			"local _F=_J.._p.._H""506c61796572446174612e747874"""
506c6179657273	monster	1	1	uncertain_context:1	Scripts/General/zzMaw-Monsters.lua			"local _J=table.concat({_H""53637269707473"",_H""4d6f64756c6573"",_H""4d756c7469706c61796572"",_H""53796e6368726f6e697a6174696f6e"",_H""506c6179657273""},_p)"
53796e6368726f6e697a6174696f6e	monster	1	1	uncertain_context:1	Scripts/General/zzMaw-Monsters.lua			"local _J=table.concat({_H""53637269707473"",_H""4d6f64756c6573"",_H""4d756c7469706c61796572"",_H""53796e6368726f6e697a6174696f6e"",_H""506c6179657273""},_p)"
6465617468735f	monster	1	2	reviewed_internal_api_literal:1; uncertain_context:1	Scripts/General/zzMaw-Monsters.lua			"for _,seed in ipairs(seeds) do lines[#lines+1]=(_H""6465617468735f""..""%""..""d=""..""%""..""d\n""):format(seed, st.deaths[seed] or 0) end"
6c6673	monster	1	1	uncertain_context:1	Scripts/General/zzMaw-Monsters.lua			"local ok,lfs=pcall(require,_H""6c6673"")"
6d6b646972202225732220323e6e756c	monster	1	1	uncertain_context:1	Scripts/General/zzMaw-Monsters.lua			"local cmd=(_p==""\\"") and _H""6d6b646972202225732220323e6e756c"" or _H""6d6b646972202d70202225732220323e2f6465762f6e756c6c"""
6d6b646972202d70202225732220323e2f6465762f6e756c6c	monster	1	1	uncertain_context:1	Scripts/General/zzMaw-Monsters.lua			"local cmd=(_p==""\\"") and _H""6d6b646972202225732220323e6e756c"" or _H""6d6b646972202d70202225732220323e2f6465762f6e756c6c"""
70656e64696e675f	monster	1	2	reviewed_internal_api_literal:1; uncertain_context:1	Scripts/General/zzMaw-Monsters.lua			"for seed in pairs(st.pending) do lines[#lines+1]=(_H""70656e64696e675f""..""%""..""d=1\n""):format(seed) end"
"=%d
"	monster	1	1	uncertain_context:1	Scripts/General/zzMaw-Monsters.lua			"if st.current_seed then lines[#lines+1]=(_H""63757272656e745f73656564""..""=%d\n""):format(st.current_seed) end"
"\9\9NoBolster\9-\9-\9-\9\9
"	monster	1	1	uncertain_context:1	Scripts/General/AdaptiveMonstersStats.lua			"BolsterTxt:write(i .. ""\9"" .. v.Name .. ""\9\9NoBolster\9-\9-\9-\9\9\n"")"
Allow	monster	1	1	uncertain_context:1	Scripts/Structs/extraEditableDescriptions.lua			"t[""Allow"" .. masteryStr(mas)] = t.Mastery == const.GM or t.Level * t.Mastery >= t.Monster.Level"
AllowReplicate	monster	1	1	uncertain_context:1	Scripts/General/AdaptiveMonstersStats.lua			"if ProcessFormula(MonKind, ""AllowReplicate"", false) then"
AllowSummons	monster	1	1	uncertain_context:1	Scripts/General/AdaptiveMonstersStats.lua			"if ProcessFormula(MonKind, ""AllowSummons"", false) then"
broodlord	monster	1	2	comparison_control_literal:1; uncertain_context:1	Scripts/General/zzMaw-Monsters.lua			"local broodlordChance = getSeededSpecialBossChance(seed, ""broodlord"")"
"cmd /c mkdir ""%s"" >nul 2>nul"	monster	1	1	uncertain_context:1	Scripts/General/zzMaw-Monsters.lua			"and ('cmd /c mkdir ""%s"" >nul 2>nul'):format(_J)"
Creed	monster	1	1	uncertain_context:1	Scripts/General/AdaptiveMonstersStats.lua			"Creed 		= GetProp(Words[5], ""Creed"", CurId),"
DemonFly	monster	1	1	uncertain_context:1	Scripts/General/zzzzMalekith-Randomizer.lua			"vars.MonsterShuffleList[i].Pic=""DemonFly"""
DoDebug	monster	1	1	uncertain_context:1	Scripts/General/zzMaw-Monsters.lua			"local oldDoDebugIndex, oldDoDebug = debug.findupvalue(debug.debug, ""DoDebug"")"
Error in attacker recognition handler: invalid monster id: %s / %s	monster	1	1	uncertain_context:1	Scripts/Core/events.lua			"_G.Log(_G.Merge.Log.Error, ""Error in attacker recognition handler: invalid monster id: %s / %s"", i, Map.Monsters.count)"
Error in monster under attack recognition handler: invalid monster id: %s / %s	monster	1	1	uncertain_context:1	Scripts/Core/events.lua			"_G.Log(_G.Merge.Log.Error, ""Error in monster under attack recognition handler: invalid monster id: %s / %s"", monIndex, Map.Monsters.count)"
loadstring	monster	1	1	uncertain_context:1	Scripts/General/zzMaw-Monsters.lua			"local oldLoadstringIndex, oldLoadstring = debug.findupvalue(oldDoDebug, ""loadstring"")"
Mad.	monster	1	1	uncertain_context:1	Scripts/General/zzMaw-Monsters.lua			"MAWBOLSTER[600]=""Mad."""
"mkdir -p ""%s"" 2>/dev/null"	monster	1	1	uncertain_context:1	Scripts/General/zzMaw-Monsters.lua			"or  ('mkdir -p ""%s"" 2>/dev/null'):format(_J)"
monster	monster	1	1	uncertain_context:1	Scripts/General/BountyHunt.lua			"local contents = Yellow(MonName or ""monster"")"
Monster	monster	1	2	internal_table_key_literal:1; uncertain_context:1	Scripts/General/zzMaw-Monsters.lua			"if Game.MapStats[Map.MapStatsIndex][""Monster"" .. v .. ""Pic""] .. "" B"" == mon.Picture then"
monster generated in a wall	monster	1	1	uncertain_context:1	Scripts/General/pseudoSpawnpoint.lua			"table.insert(failReasons, {""monster generated in a wall"", x, y, z})"
MonsterChooseAction	monster	1	2	reviewed_internal_api_literal:1; uncertain_context:1	Scripts/Core/events.lua			"Conditional(hooks, ""MonsterChooseAction"")"
MoveSpeed	monster	1	1	uncertain_context:1	Scripts/General/AdaptiveMonstersStats.lua			"mon.MoveSpeed = ProcessFormula(MonKind, ""MoveSpeed"", mon.MoveSpeed)"
omnipotent	monster	1	2	comparison_control_literal:1; uncertain_context:1	Scripts/General/zzMaw-Monsters.lua			"local omnipotentChance = getSeededSpecialBossChance(seed, ""omnipotent"")"
Pic	monster	1	1	uncertain_context:1	Scripts/General/zzMaw-Monsters.lua			"if Game.MapStats[Map.MapStatsIndex][""Monster"" .. v .. ""Pic""] .. "" B"" == mon.Picture then"
PlayerAC	monster	1	3	internal_table_key_literal:2; uncertain_context:1	Scripts/General/AdaptiveMonstersStats.lua			"t.AC = math.max(ApplyMultiplier(""PlayerAC"", t.AC, result), 0)"
return	monster	1	1	uncertain_context:1	Scripts/General/AdaptiveMonstersStats.lua			"elseif string.find(Words[3], ""return"") then"
return 	monster	1	1	uncertain_context:1	Scripts/General/AdaptiveMonstersStats.lua			"str = ""return "" .. Words[3]"
return false	monster	1	1	uncertain_context:1	Scripts/General/AdaptiveMonstersStats.lua			"str = ""return false"""
safeGetMonsterLevel	monster	1	1	uncertain_context:1	Scripts/General/zzMaw-Stats.lua			"if not rawget(_G, ""safeGetMonsterLevel"") then"
Style	monster	1	1	uncertain_context:1	Scripts/General/AdaptiveMonstersStats.lua			"Style	 	= GetProp(Words[7], ""Style"", CurId),"
Types	monster	1	1	uncertain_context:1	Scripts/General/AdaptiveMonstersStats.lua			"Type 		= GetProp(Words[4], ""Types"", CurId),"
Undefined property, line: 	monster	1	1	uncertain_context:1	Scripts/General/AdaptiveMonstersStats.lua			"Warning = Warning .. ""Undefined property, line: "" .. i .. "", type: "" .. Type .. ""\n"""
%s|	skill	16	16	uncertain_context:16	Scripts/General/zzMAW-Skills.lua			"normal=string.format(""%s\t"" .. tab+32 .. ""%s|"",normal,skillAttack[i][1])"
%s%%|	skill	4	4	uncertain_context:4	Scripts/General/zzMAW-Skills.lua			"normal=string.format(""%s\t"" .. tab+22 .. ""%s%%|"",normal,skillDamage[i][1])"
Broodling	skill	3	8	comparison_control_literal:5; uncertain_context:3	Scripts/General/zzMaw-Monsters.lua			"skill = ""Broodling"""
"%

Press P to enable/disable
"	skill	2	2	uncertain_context:2	Scripts/General/zzMAW-Skills.lua			"local txt=""Cover Skill is a defensive prowess enabling a character to shield allies by intercepting incoming damage. This ability strategically positions the user as the primary target of enemy onslaughts, thereby protecting teammates who are more susceptible to damage.\n\nIf available, Expert, Master and Grandmaster is learned at skill 6-12-20.\n\nGrants 10 plus 1% chance per skill point to Cover, up to 40%, however, something might happen once at max level....\n\nCurrent cover chance: "" .. cha"
"%s	075AC|"	skill	2	2	uncertain_context:2	Scripts/General/zzMAW-Skills.lua			"baseString=string.format(""%s\t075AC|"",baseString)"
"%s Res	000"	skill	2	2	uncertain_context:2	Scripts/General/zzMAW-Skills.lua			"baseString=string.format(""%s Res\t000"",baseString)"
Broodlord	skill	2	3	comparison_control_literal:1; uncertain_context:2	Scripts/General/zzMaw-Monsters.lua			"skill = ""Broodlord"""
Omnipotent	skill	2	17	comparison_control_literal:15; uncertain_context:2	Scripts/General/zzMaw-Monsters.lua			"skill = ""Omnipotent"""
"%s	0"	skill	1	1	uncertain_context:1	Scripts/General/zzMAW-Skills.lua			"baseString=string.format(""%s\t0"" .. tab .. ""Attack|"",baseString)"
"%s
------------------------------------------------------------
"	skill	1	1	uncertain_context:1	Scripts/General/zzMAW-Skills.lua			"baseString=string.format(""%s\n------------------------------------------------------------\n"",	Skillz.getDesc(i,1))"
"%s
------------------------------------------------------------
         "	skill	1	1	uncertain_context:1	Scripts/General/zzMAW-Skills.lua			"baseString=string.format(""%s\n------------------------------------------------------------\n         "",	Skillz.getDesc(i,1))"
%sRes	skill	1	1	uncertain_context:1	Scripts/General/zzMAW-Skills.lua			"baseString=string.format(""%sRes"",baseString)"
AC|	skill	1	1	uncertain_context:1	Scripts/General/zzMAW-Skills.lua			"baseString=string.format(""%s\t"" .. tab .. ""AC|"",baseString)"
Adamantite	skill	1	2	comparison_control_literal:1; uncertain_context:1	Scripts/General/zzMaw-Monsters.lua			"SkillList={""Summoner"",""Venomous"",""Exploding"",""Thorn"",""Reflecting"",""Adamantite"",""Swapper"",""Regenerating"",""Puller"",""Leecher"",""Swift"",""Fixator"",""Shadow"",""Plagueborn""} --defensives"
Attack|	skill	1	1	uncertain_context:1	Scripts/General/zzMAW-Skills.lua			"baseString=string.format(""%s\t0"" .. tab .. ""Attack|"",baseString)"
Chance to Stun: 	skill	1	1	uncertain_context:1	Scripts/General/zzMAW-Skills.lua			"txt=txt .. ""Chance to Stun: "" .. chance .. ""%"""
"Cover Skill is a defensive prowess enabling a character to shield allies by intercepting incoming damage. This ability strategically positions the user as the primary target of enemy onslaughts, thereby protecting teammates who are more susceptible to damage.

If available, Expert, Master and Grandmaster is learned at skill 6-12-20.

Grants 10 plus 1% chance per skill point to Cover, up to 40%, however, something might happen once at max level....

Current cover chance: "	skill	1	1	uncertain_context:1	Scripts/General/zzMAW-Skills.lua			"local txt=""Cover Skill is a defensive prowess enabling a character to shield allies by intercepting incoming damage. This ability strategically positions the user as the primary target of enemy onslaughts, thereby protecting teammates who are more susceptible to damage.\n\nIf available, Expert, Master and Grandmaster is learned at skill 6-12-20.\n\nGrants 10 plus 1% chance per skill point to Cover, up to 40%, however, something might happen once at max level....\n\nCurrent cover chance: "" .. cha"
"Cover Skill is a defensive prowess enabling a character to shield allies by intercepting incoming damage. This ability strategically positions the user as the primary target of enemy onslaughts, thereby protecting teammates who are more susceptible to damage.

If available, Expert, Master and Grandmaster is learned at skill 8-20-30.

Grants 10 plus 1% chance per skill point to Cover, up to 40%, however, something might happen once at max level....

Current cover chance: "	skill	1	1	uncertain_context:1	Scripts/General/zzMAW-Skills.lua			"txt=""Cover Skill is a defensive prowess enabling a character to shield allies by intercepting incoming damage. This ability strategically positions the user as the primary target of enemy onslaughts, thereby protecting teammates who are more susceptible to damage.\n\nIf available, Expert, Master and Grandmaster is learned at skill 8-20-30.\n\nGrants 10 plus 1% chance per skill point to Cover, up to 40%, however, something might happen once at max level....\n\nCurrent cover chance: "" .. chance .."
Dmg%%|	skill	1	1	uncertain_context:1	Scripts/General/zzMAW-Skills.lua			"baseString=string.format(""%s\t"" .. tab .. ""Dmg%%|"",baseString)"
